Source	Station	IBMR_strata	IBMR_strata2	Year	Month	Day	1	2	3	4	5	6	7	8	9	10	11	12
20mm	411	11	12	1995	7	21	0	11660.31324	0	17901.40756	471.0059863	132.5035595	17.66714127	176.6714127	0	176.6714127	0	0
20mm	411	11	12	1995	8	7	0	5314.380753	0	3859.25269	393.5594191	316.3321877	4.217762502	0	248.0044351	147.6216876	0	0
20mm	418	12	13	1995	4	27	4.373356999	4537.768916	0	2957.967686	0	59.18829021	46.03533683	131.5295338	3590.756272	854.9419697	6153.872298	0
20mm	418	12	13	1995	5	11	0	1300.04974	0	1069.242761	0	491.1299019	38.5199923	1059.299788	5015.302998	144.4499711	221.5862557	0
20mm	418	12	13	1995	5	25	0	18414.67411	0	14586.96567	0	331.7959299	199.077558	0	2043.862928	552.9932166	8143.599305	0
20mm	418	12	13	1995	6	8	62.7465767	9671.46483	0	5572.650857	0	52.41986358	120.5656862	0	1067.320842	1258.076726	1929.889698	0
20mm	418	12	13	1995	6	23	7.920709421	6134.083236	0	5585.588997	0	19.85140206	11.91084123	0	333.5035545	377.1766391	0	0
20mm	418	12	13	1995	7	6	0	7634.173673	0	8896.903571	0	0	13.66295065	0	114.7687854	34.15737661	0	0
20mm	418	12	13	1995	7	20	10.64932023	11409.98596	0	14806.75879	0	80.07007688	0	0	403.5531875	40.03503844	0	0
20mm	418	12	13	1995	8	3	0	1380.911448	0	7765.971991	525.9299885	0	59.18191919	0	110.4729158	10.95961466	0	0
20mm	501	8	9	1995	4	28	0	668.8416835	0	527.3147833	0	496.4291607	4.458944557	594.5259409	3321.021906	29.72629705	45.60013967	0
20mm	501	8	9	1995	5	12	0	1069.786687	0	572.8912311	0	823.0927075	14.02998933	841.7993599	3535.557312	233.8331555	107.6100182	0
20mm	501	8	9	1995	6	24	0	13213.46004	0	9949.789122	0	247.0809601	300.7942123	0	0	53.71325219	164.7922577	0
20mm	501	8	9	1995	7	5	0	30462.85852	0	23546.91338	0	61.85351984	61.85351984	0	346.3797111	103.0891997	316.2776648	0
20mm	501	8	9	1995	7	19	0	7729.056237	0	5476.588419	0	123.6648998	32.38842614	117.776095	247.3297996	58.88804752	0	0
20mm	501	8	9	1995	8	7	0	8102.977527	0	7426.132754	922.2758461	255.4633309	10.64430545	0	50.0548464	425.7722182	0	0
20mm	504	8	9	1995	4	28	0	1317.058764	0	1988.634663	0	171.7902735	10.49829449	229.0536981	1763.713475	104.9829449	644.1753502	0
20mm	504	8	9	1995	5	12	0	5846.01447	0	551.0985996	0	457.6696343	35.75544018	1573.239368	2402.76558	143.0217607	1755.163048	0
20mm	504	8	9	1995	5	26	0	6494.845256	0	1434.670873	0	352.1015011	149.8810444	285.4877036	479.619342	214.1157777	2408.659755	0
20mm	504	8	9	1995	6	24	0	6673.180741	0	15706.50429	0	187.7469811	159.1767883	326.5164889	548.5477013	0	125.2190735	0
20mm	504	8	9	1995	7	5	0	14590.62066	0	5395.567872	0	18.70592392	71.7060417	124.7061595	52.37658698	93.5296196	0	0
20mm	504	8	9	1995	7	19	0	10327.68188	0	4132.402057	90.86996663	259.0441659	3.408475867	272.6780694	57.26239457	204.508552	0	0
20mm	504	8	9	1995	8	7	0	7505.670682	0	7655.332627	1003.013436	556.8116596	15.04896377	0	316.0282393	75.24481887	0	0
20mm	508	8	9	1995	4	28	0	2473.681813	0	521.9298028	0	254.7607937	4.549299886	136.4789966	878.9247381	56.86624858	1011.900774	0
20mm	508	8	9	1995	5	10	0	2902.053389	0	340.2066439	0	593.3086929	21.49669177	945.8544379	2094.637646	21.49669177	461.6629525	0
20mm	508	8	9	1995	6	7	0	1514.085121	0	268.5533243	0	288.9263351	104.6431919	111.1255135	949.011885	0	198.8776273	0
20mm	508	8	9	1995	6	24	0	3820.856548	0	1847.264739	0	509.4475397	457.7067739	0	936.1098541	79.60117807	0	0
20mm	508	8	9	1995	7	7	0	22126.29959	0	25758.97565	0	198.1459665	99.07298325	880.64874	184.9362354	0	0	0
20mm	508	8	9	1995	7	21	0	10344.71387	0	15271.55627	0	577.5798577	17.24118978	344.8237956	1086.194956	43.10297446	0	0
20mm	508	8	9	1995	8	7	0	6471.900225	0	8595.582373	383.4241333	107.8650038	3.595500125	431.460015	60.4044021	35.95500125	0	0
20mm	513	7	8	1995	4	26	0	1587.025144	0	39.68144188	0	234.8564682	3.487967349	279.0373879	1699.337693	0	392.3730737	0
20mm	513	7	8	1995	5	10	0	1439.487099	0	0	0	1040.001532	15.62234061	714.1641421	4311.766008	0	342.3524356	0
20mm	513	7	8	1995	5	25	0	2532.591527	0	1972.755505	0	629.149053	60.4267452	497.6320193	1343.606452	0	599.7887639	0
20mm	513	7	8	1995	6	7	0	1689.484703	0	7482.893385	0	313.6036965	75.08820902	441.6953472	1150.174684	0	474.2924638	0
20mm	513	7	8	1995	6	22	0	908.2352273	0	283.3041843	0	424.7746294	55.8913986	149.0437296	610.3340728	0	28.57913515	0
20mm	513	7	8	1995	7	5	0	7203.622214	0	15262.10545	0	517.6628951	81.07973055	124.738047	157.1699392	0	95.67408205	0
20mm	513	7	8	1995	7	19	0	2895.863624	0	8498.730199	0	176.2699597	39.87058612	167.8761521	493.5558871	62.95355703	0	0
20mm	513	7	8	1995	8	7	0	15913.72567	0	17360.428	0	741.8986324	37.09493162	0	0	0	0	0
20mm	519	9	10	1995	4	28	0	215.5841964	0	109.0057574	0	584.4727102	4.79075992	1022.028783	4587.631699	63.87679893	97.98700956	0
20mm	519	9	10	1995	5	12	0	428.5293629	0	1343.255897	0	1089.688951	4.081232027	1550.86817	4833.811213	81.62464054	187.8182979	0
20mm	519	9	10	1995	6	24	0	2403.87868	0	4101.576661	0	391.7431923	144.9958569	101.7514785	1282.068629	50.87573926	0	0
20mm	519	9	10	1995	7	5	0	24120.30677	0	15998.48087	0	125.3002949	118.3391674	0	350.8408258	208.8338249	0	0
20mm	519	9	10	1995	8	7	0	8412.466897	0	5473.05457	525.6477363	521.3976879	21.90746588	0	73.60908535	21.90746588	0	0
20mm	520	7	8	1995	4	27	0	3528.484039	0	347.3812815	0	343.9258005	14.60062361	129.783321	1744.287834	48.66874537	1841.560433	0
20mm	520	7	8	1995	5	10	0	4038.271464	0	392.0651906	0	460.023157	33.97898319	731.8550225	2415.121574	0	1202.856005	0
20mm	520	7	8	1995	5	24	0	2632.053095	0	1172.97845	0	705.8687847	35.89163312	558.3142929	1004.965727	0	856.4541254	0
20mm	520	7	8	1995	6	7	0	6954.024817	0	5817.746252	0	345.4286838	160.5940372	606.0152346	356.3369579	30.30076173	464.8136849	0
20mm	520	7	8	1995	6	24	0	11991.81695	0	15250.2106	0	548.1973462	333.4867189	0	997.71917	0	0	0
20mm	520	7	8	1995	7	5	0	15294.49853	0	10947.93097	0	140.6390669	50.78632972	0	0	117.1992224	0	0
20mm	520	7	8	1995	7	19	0	4000.742913	0	7211.606616	0	217.2060024	6.388411838	191.6523551	241.4819675	63.88411838	0	0
20mm	520	7	8	1995	8	7	0	11562.21728	0	12204.19563	533.7640047	490.5183089	25.02644433	200.2115546	168.1777059	0	0	0
20mm	602	12	13	1995	4	27	0	825.2171419	0	2159.175151	0	301.4793292	3.300868568	264.0694854	2920.608509	374.0984377	1384.032185	0
20mm	602	12	13	1995	5	11	0	1432.007019	0	1492.287696	0	431.8751328	11.36513507	1000.131887	4009.619655	90.9210806	0	0
20mm	602	12	13	1995	5	25	0	3448.411809	0	4949.850311	0	722.5243791	128.0838672	394.1042068	1765.586846	32.84201723	3627.335119	0
20mm	602	12	13	1995	6	8	0	13954.66983	0	16527.72332	0	297.0742037	297.0742037	312.7096881	262.676138	0	239.8483308	0
20mm	602	12	13	1995	6	23	0	15118.71735	0	6574.570223	0	89.59239911	156.7866984	223.9809978	282.2160572	111.9904989	343.5868506	0
20mm	602	12	13	1995	7	6	0	54329.46753	0	21071.52615	0	0	16.61451607	0	558.2477398	0	0	0
20mm	602	12	13	1995	7	20	0	15110.34093	0	12532.16926	351.8268029	325.521173	4.39893477	175.9573908	369.5105206	131.9680431	0	0
20mm	602	12	13	1995	8	3	8.324634421	7088.457505	0	563.3211262	333.7364717	225.3284505	71.97992169	0	374.3268883	0	0	0
20mm	606	10	11	1995	4	27	0	1845.45589	0	2420.216743	0	27.85593796	178.7422685	0	1364.94096	487.4789142	1210.711917	0
