"","Scenario","Region","MeanBiomass","sdbiomass","MeanU95","MeanL95","GeoMeanBiomass","sdgio","lower","upper","Year"
"1","10800-3-m","Confluence",14407.1899985168,12909.0866552327,12520.4047781707,5694.15484736421,8387.4155778151,1.19547562264104,2537.69658773989,27721.4937415466,"2016"
"2","10800-3-m","NE Suisun",243.060622758466,267.185449615905,163.663147941233,66.2007812890223,105.346367075754,1.52279041071159,22.976299878906,483.013240362876,"2016"
"3","10800-3-m","NW Suisun",35.7831937173898,35.766333446869,33.9861507773562,9.48523547332262,18.2021767040088,1.31765605190406,4.87385465434819,67.9788915060024,"2016"
"4","10800-3-m","SE Suisun",160.659070567157,184.621701548967,110.585940215331,45.6182841890183,71.8440684304752,1.44857441336871,16.8765256379872,305.843174084639,"2016"
"5","10800-3-m","SW Suisun",3.40045677254991,1.26759343782506,6.10765993928316,1.67873322146977,3.23056667892323,0.313736210672497,2.3606130530968,4.42112317106681,"2016"
"6","10800-3-m","Suisun Marsh",626.052236589498,559.928779232098,646.951311012408,216.119373003318,382.205474644175,1.05430648356271,133.173377854156,1096.9236284444,"2016"
"7","10800-60d","Confluence",11947.6723106326,13962.4588443624,8353.00923396771,3956.98130291299,5689.51651314981,1.26460407946474,1606.44103315434,20150.5050514322,"2016"
"8","10800-60d","NE Suisun",214.646162005271,290.778092492884,104.82380592011,42.8311641306504,67.846864066089,1.62279736937785,13.3892988845324,343.796714323861,"2016"
"9","10800-60d","NW Suisun",32.1852179776833,37.973028753204,24.5165621278804,7.11966241044871,13.4573506250216,1.40162546210749,3.31315202449905,54.6610250618219,"2016"
"10","10800-60d","SE Suisun",142.860761062497,196.409477136234,74.3665574229704,30.7662103508099,48.3387219742404,1.54410128975581,10.3204942041352,226.406991359645,"2016"
"11","10800-60d","SW Suisun",3.38519552529656,1.34944705938008,5.99004688126634,1.68063627748359,3.18289211730339,0.3462433848121,2.25138789779732,4.49980309492808,"2016"
"12","10800-60d","Suisun Marsh",596.942533005638,583.895709374306,532.465610561265,181.195588377428,317.917554736761,1.19442537212667,96.2902160704836,1049.6556735922,"2016"
"13","10800-b","Confluence",15073.6932768071,12465.4624658638,14553.0748098901,6549.23951147799,9718.84780647882,1.07926563394126,3302.90187814021,28597.8833675447,"2016"
"14","10800-b","NE Suisun",250.024171755878,265.421414793429,192.654997270872,77.3115056391683,123.535514052061,1.38049664703808,31.063454472391,491.285450743118,"2016"
"15","10800-b","NW Suisun",36.2454960111763,35.3981956485941,37.288410067211,10.3801236258568,19.8783487727392,1.2217004256982,5.85871743776981,67.4462890774057,"2016"
"16","10800-b","SE Suisun",166.731736493973,187.203827083211,128.389963738901,52.553999886373,83.2172633736948,1.32765949731715,22.0606465358662,313.912509869012,"2016"
"17","10800-b","SW Suisun",3.3102814212932,1.31669713229749,5.97297971247268,1.59803296516437,3.12394500543306,0.3315273309329,2.24245062527748,4.35194973167473,"2016"
"18","10800-b","Suisun Marsh",633.896762643492,554.349333606973,690.102750992168,228.409771749487,405.742449203773,0.984638367606521,151.574951068252,1086.10910922708,"2016"
"19","15000-3-m","Confluence",38999.7074548526,38747.5067643223,25543.7216270711,10957.788761693,16609.4613396238,1.6176473182836,3294.73313879661,83731.8818765455,"2016"
"20","15000-3-m","NE Suisun",775.497354389477,820.26970017081,388.213259409054,149.117608843597,243.784310436416,2.01349364076603,32.5504183130325,1825.80725824848,"2016"
"21","15000-3-m","NW Suisun",93.4955836760707,88.2449529067157,70.9531620434775,18.9137784875335,36.810441007366,1.72977102142894,6.52741178103731,207.587419426056,"2016"
"22","15000-3-m","SE Suisun",456.090519670015,488.13793071982,242.954382392921,97.100229274785,155.38098408412,1.88806426453477,23.5191691786658,1026.53499498825,"2016"
"23","15000-3-m","SW Suisun",6.04726879231405,3.86909287876349,9.77326756592796,2.55665024095374,5.04686301548878,0.599633033254229,2.77079375129786,9.19260998231203,"2016"
"24","15000-3-m","Suisun Marsh",1021.6731613491,806.209214320834,1085.91002805432,351.683856146069,634.213865387291,1.11065482152003,208.874042567011,1925.69273858165,"2016"
"25","15000-60d","Confluence",30537.8813068247,41142.4468024001,13651.2139331755,6246.66204300541,9151.65488847279,1.68891469132404,1690.49271492796,49543.4179976796,"2016"
"26","15000-60d","NE Suisun",644.317839321942,939.721760915048,186.257345918044,74.9265335447224,119.821507926836,2.10683285476627,14.5729977439996,985.191517494914,"2016"
"27","15000-60d","NW Suisun",77.8154495578259,97.5035605837243,39.628724129922,11.4491336763774,21.5879432425381,1.8140412191873,3.51870757658316,132.446156237738,"2016"
"28","15000-60d","SE Suisun",389.669765994895,551.785098193968,126.926242712451,51.9748176462496,82.0896771256076,1.99588430240891,11.1554478028517,604.073920624136,"2016"
"29","15000-60d","SW Suisun",5.46831993790082,4.38888942232689,8.07463524108447,2.26292953562235,4.29204780860983,0.658332836152916,2.22205207616026,8.29038823573629,"2016"
"30","15000-60d","Suisun Marsh",921.947376375005,881.713342025771,763.456289483047,256.337688671891,453.4620231188,1.3236765125571,120.691175178384,1703.75179549849,"2016"
"31","15000-b","Confluence",29406.273294023,40701.5281736615,13023.4010652884,5990.43049727461,8749.35053230899,1.67050963253379,1646.20039285835,46501.7108909184,"2016"
"32","15000-b","NE Suisun",586.359424553731,861.857308269933,172.936261661856,69.8970484384156,111.402993981199,2.06649452249644,14.106838510993,879.759632769875,"2016"
"33","15000-b","NW Suisun",72.2364222577797,92.4230100811376,37.3381933988215,10.8340678929671,20.3839028928316,1.77905580745365,3.44075081599306,120.759543298827,"2016"
