"region","Year","DOY","IBMR","Gates+X2_median","Gates+X2_l95","Gates+X2_u95","NoAction_median","NoAction_l95","NoAction_u95","X2Only_median","X2Only_l95","X2Only_u95","GatesOnly_median","GatesOnly_l95","GatesOnly_u95"
"Suisun Marsh",2016,253,"allcopnaup",0.989557740534173,0.181767014177093,2.97632650084901,0.269848148539446,0.0580722275887834,0.619899067852271,0.365795912062493,0.0844632891884871,0.925479515158568,0.483236900145385,0.097915492819039,1.33110852380748
"Suisun Marsh",2016,253,"daphnia",0,0,0.0738138556870745,0.00288757746278766,0,0.0307429491976553,0.00221512778882874,0,0.0389602168709384,0.00165399021423759,0,0.0447619056573476
"Suisun Marsh",2016,253,"euryjuv",0.282092623359259,0,0.704265376664283,0.212307568221632,0.0828204438423524,0.423806904951436,0.215337220015735,0.0600573086970857,0.445522689940371,0.228998371180789,0.0348355264235801,0.479257902893356
"Suisun Marsh",2016,253,"eurytem",0.147010922864013,0,0.486162269441671,0.0148324879897057,0,0.11507303026217,0.0291756145745363,0,0.168105980138501,0.0535974491306505,0,0.228145712333065
"Suisun Marsh",2016,253,"limno",1904.73570794,773.298220640353,4688.5781570281,461.117196695787,228.806785661783,1015.08658943811,750.925519814066,373.727649068454,1526.28892467115,1103.41076750548,483.704762870389,2321.28223461894
"Suisun Marsh",2016,253,"othcalad",1.82046488421005,0.608300933676633,4.03670053021067,11.6678665066313,6.50029038951544,20.351241230857,3.93742604299432,2.05525844623296,7.47754633510611,2.37743896463947,1.21690968105108,4.24212620487349
"Suisun Marsh",2016,253,"othcaljuv",6.22676203325312,2.02113225560092,16.111183717499,16.1299612018809,6.7330028234825,39.2089553504052,8.77309855210767,3.54846150456892,20.9326214174086,6.70834275278334,2.72079099198729,15.6807632814296
"Suisun Marsh",2016,253,"othclad",0.677198316685485,0.263777118345215,1.27548830836648,0.105535633689039,0.0235538322367185,0.229873294529428,0.157075163550918,0.0374668026912723,0.324030319160227,0.233375795057703,0.0732840196260423,0.470000584116622
"Suisun Marsh",2016,253,"othcyc",22.7768406072236,3.47901024388971,105.485591241524,11.0621891706294,1.92569407513186,47.8449797211504,12.613035573609,2.07180468237693,54.8566341966451,14.7060780254247,2.31589707931975,63.8049869073721
"Suisun Marsh",2016,253,"other",161.82718768515,71.3117727472525,341.896820750314,72.8688288977647,40.8562743201265,140.918510599818,108.882520506429,56.3956459061333,207.971972029832,143.776929445063,75.259399091531,264.799187938073
"Suisun Marsh",2016,253,"pdiapfor",142.97840795599,84.3214917094761,254.616844972431,20.7447922444176,13.0851444407512,33.4594951577844,39.0456848748448,24.0781410618372,65.0975823532537,59.7844056990903,37.17033601162,99.7708303120401
"Suisun Marsh",2016,253,"pdiapjuv",25.0541381167865,13.5960377888365,47.4214798001957,4.00839452509448,2.15909028568605,7.2630672828192,6.98021307697996,3.92860866510843,13.1199975238477,10.4126582823722,5.70738359386081,19.3995146969543
"Suisun Marsh",2016,254,"acartela",352.133865308684,161.481921453118,743.045615739312,69.3856531691501,38.0095700709375,130.579766724234,86.5087308601773,45.4346068462011,160.579301709702,118.171148991452,61.2451390845067,222.421339716635
"Suisun Marsh",2016,254,"allcopnaup",0.971702440136053,0.171286390001058,2.95532170934658,0.265049106069424,0.0559852677972638,0.620122043109286,0.361384927307207,0.0826988874038551,0.909011219414875,0.4556179391292,0.0917871439558705,1.244410138907
"Suisun Marsh",2016,254,"daphnia",0,0,0.0741035492589557,0.00294828888809228,0,0.0311749986838262,0.00215927842785795,0,0.0388683706672138,0.00214944707906014,0,0.043916088571052
"Suisun Marsh",2016,254,"euryjuv",0.293837924507814,0,0.722626632007611,0.220821849551708,0.0874814265489069,0.440369931077756,0.22514214672033,0.06383064898404,0.45956114321926,0.237009439972595,0.0419166912667015,0.491933743873454
