"","Year","sdWeight","Weight","OUT","X2","Temperature"
"1",2010,0.241247803677172,1.86131791699986,7672.06535947712,80.2530718954248,20.258681039056
"2",2011,0.275451053799023,2.30852663050218,18455.7450980392,69.8424183006536,20.5543804815188
"3",2012,0.2265451758973,1.78302143733772,5960.92156862745,82.5087581699346,20.7683445202475
"4",2013,0.206403757370338,1.64373912980658,5644.6862745098,82.6322222222222,21.1261520589264
"5",2014,0.234289960164036,1.80823163214133,4164.46405228758,87.3058823529412,21.8866664597938
"6",2015,0.221037854276384,1.5880041053548,4717.47712418301,85.3879738562092,21.7644636019391
"7",2016,0.21153360261346,1.83520703291522,6869.87581699346,80.9377777777778,21.0587169564322
"8",2017,0.235248764476559,1.89388665284034,13972.5555555556,71.4883660130719,21.5333560660863
"9",2018,0.23892886292884,2.01832323275158,6155.6339869281,81.1480392156863,21.0357225436062
"10",2019,0.236289730224027,1.7585079428651,15504.1307189542,71.390522875817,21.7347770561377
"11",2020,0.243122429211546,1.63095360712018,4712.83660130719,84.9747712418301,21.9384753786875
"12",2021,0.244857534121348,1.71356058769271,5323.69281045752,88.4384967320261,21.4161005907087
"13",2022,0.186985484767495,1.37178871883208,4260.11111111111,86.8562745098039,22.0797073086028
"14",2023,0.247017618704685,1.84638757130673,12794.4640522876,74.4339869281046,21.1614874612015
"15",2024,0.224475976254896,1.82769603301399,8460.45901639344,77.1980327868852,21.6873129819725
