"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",1.34163611453067,0.137476672081276,9.75900925022024,3.51468905950643e-10
"SeasonFall (Sep-Oct)",-0.820458256673401,0.271207837136994,-3.02520113479968,0.00553568032771008
"X2",-0.00819774970526146,0.00178615288444637,-4.58961255592766,9.93086440862358e-05
"SeasonFall (Sep-Oct):X2",0.00740664065844559,0.00333111219634514,2.22347378949652,0.0350839654724508
