day_of_year,Yolo Bypass,Sacramento River,East Delta,Lower Sacramento River,South Delta,Suisun Marsh,Confluence,Lower San Joaquin River,SW Suisun,SE Suisun,NE Suisun,NW Suisun
121,2.7439248696659306,1.532074933399171,1.040715358947752,2.1848521773225644,1.6825100530839794,3.0272902910908663,2.2684837720595508,1.230615588670775,3.0401558150401846,2.8644604516646686,2.9255093369176812,3.228683892051188
122,2.6363557281673033,1.5333989943598776,1.0410300464390727,2.1878229996482887,1.6803812281870374,3.032276784381201,2.2721798154312607,1.240599898807118,3.0389645706887305,2.8669322833417077,2.9304730934593355,3.2321070858054037
123,2.6291981675435636,1.5365477742799079,1.039389558652695,2.192878271702701,1.6793927867246337,3.024931666622952,2.2751828932997116,1.2380735069972737,3.0388410122502467,2.867354957158026,2.9305586683955074,3.2323675454432337
124,2.6020454822865107,1.5322374968535244,1.0182454655739348,2.2042232135736906,1.6770862544090726,3.019931933203848,2.284213271212978,1.2484863111754176,3.0449186122914607,2.873847916197761,2.940400389786557,3.250825975853282
125,2.608746304512933,1.5236490829320628,1.0189869775983618,2.2117730029800353,1.6779325769248041,3.027477086630378,2.2969421950619693,1.2579936158176712,3.0527440420841736,2.8799765905698482,2.945969661858656,3.256521861942088
126,2.615733011683476,1.5187485121524817,1.0159654226905674,2.218050092144092,1.6756687965806973,3.0303750518654597,2.31218991035394,1.2556129438316121,3.0668894246870058,2.881320100361293,2.9427810657452538,3.2583715454629525
127,2.5903178169248227,1.5144907137357244,1.016839984597101,2.2296996560056535,1.6754252607443347,3.0408804445700164,2.3263419455412215,1.2650802731346282,3.070600999731578,2.888244495052263,2.9519888098931366,3.266236076012999
128,2.460221953777881,1.523461541461684,1.0142024770779792,2.238202178929897,1.6811178021785051,3.0455563607525833,2.3364548421636524,1.2780631897234578,3.078812541098612,2.9007079974377685,2.9646802427584475,3.2768664395672698
129,2.399250680017835,1.5341766199204194,1.031462634009571,2.2417486850019945,1.688950124892512,3.0390038176501,2.3470234414388003,1.2869314929897708,3.0914823563262646,2.9066914045115677,2.966990512190225,3.287487599753166
130,2.3499262782178794,1.552754971262155,1.007847886494517,2.244957409832701,1.6929320862648727,3.042207040312812,2.350582406501771,1.294559834215478,3.092131902063562,2.910601724021486,2.9727210362582404,3.283337432640453
131,2.2795991819346026,1.5618887382494995,1.0050383216373215,2.247030475511196,1.691902018912508,3.0387385234095046,2.358825196312317,1.2945220328477522,3.1069286651116372,2.9229793834208344,2.9890349204523567,3.2890931594728596
132,2.2705051687986675,1.5660594752361985,1.0038668367553405,2.2473028958865937,1.691437742917055,3.0336517062930093,2.357960267487481,1.2949961006570077,3.1241852361317375,2.9335259810167376,3.0024484225462924,3.3046770644075782
133,2.30183530362266,1.5751215356190453,1.0011992344393188,2.251737020341452,1.691123986043902,3.024437812440906,2.3556381482711988,1.296542407368237,3.1391105814964013,2.931887497477874,3.000578252366886,3.3161093881057875
134,2.2899229339317846,1.5852140317830197,0.9949642494639185,2.2429081135361093,1.6871966690080877,3.024110234986535,2.3427487413243773,1.2887377357969345,3.1454360827672008,2.9275379207999683,2.9953391439298365,3.3198398403393465
135,2.297608006614723,1.5970054102553903,0.9877987639147493,2.2364283229189272,1.6851822289308913,3.020309110169767,2.330907454877819,1.2805928223739185,3.145263151510964,2.9209081200025473,2.98915100189736,3.321106261309155
136,2.28949076725383,1.6024128434064315,0.9828781157536322,2.229149876099028,1.680593304516622,3.0090913452609844,2.3252878267360524,1.2684897985747123,3.139633795234893,2.916747331642958,2.98744602398016,3.326201496469786
