day_of_year,Yolo Bypass,Sacramento River,East Delta,Lower Sacramento River,South Delta,Suisun Marsh,Confluence,Lower San Joaquin River,SW Suisun,SE Suisun,NE Suisun,NW Suisun
121,4.348929890134182,2.091889762984921,1.6700601838905504,3.147795459325701,2.3586721342115946,3.575503511711803,3.232632325224319,2.1085205154359334,3.9703337939756835,3.8168220837751687,3.9083616839815423,4.215075922686837
122,4.349034281645144,2.0823588869560785,1.6605279999839293,3.1632778433522155,2.3589505249350533,3.5857882068428335,3.247855955001618,2.1126580019722554,3.984671860731125,3.821270743682088,3.9115782609014356,4.21860126605137
123,4.339371682890709,2.0757387683844835,1.6629416327212891,3.171617822304137,2.3613795544104224,3.589881008213155,3.2565845569807705,2.127342761900003,3.991756363045924,3.8300446885048522,3.9210918378402666,4.222771350966728
124,4.322412189551921,2.07541399361473,1.652036501631414,3.1774771322051465,2.356321596743671,3.5958221980815788,3.2631273909733705,2.1367260256848715,3.9986964916416814,3.832497291661154,3.926081101163432,4.237837994326612
125,4.3754614531550935,2.0629237389392667,1.652285500821542,3.178449936982802,2.356760040640795,3.5916515336760333,3.2672220970131445,2.1463413883399274,3.998156447132361,3.8357166373676597,3.9297839882760877,4.247858309350763
126,4.42717907312458,2.0528649909018775,1.6637108313287925,3.178606555287594,2.3639802239377286,3.5942011229995687,3.2688775069357137,2.1603533931043137,3.9979106310625356,3.8350654176801093,3.9329084683199302,4.253766746217592
127,4.446832078185147,2.044136409002571,1.6644649711312782,3.176175195379456,2.3602568033746425,3.594555107569752,3.2652996444519986,2.1751455876920005,3.9967066183692936,3.835703660196859,3.938804143045351,4.2631337252364885
128,4.480219388337237,2.0268974025028856,1.6751958478214617,3.1797788834923058,2.3557840408753816,3.5970829634172254,3.2715150270339057,2.187479032989897,3.9957945883775063,3.8420942933257827,3.9497665725292923,4.278135602389893
129,4.485305976866485,2.0128827780153378,1.659465226147678,3.176664280078712,2.3620351614350223,3.6076492408969782,3.2720689563100183,2.192167920043107,3.993740593137935,3.8383953754341866,3.945018247943749,4.274675786408029
130,4.524263010545618,2.007894821050641,1.6701510059872087,3.1760631571722864,2.3621098706490704,3.625925741430495,3.2731298874082895,2.194421285633211,3.993294471569815,3.8346620266111766,3.9406766715628847,4.2749579768730115
131,4.499313418379511,2.003823099781121,1.6814317807449193,3.1732561447325636,2.362237814862784,3.637036961468253,3.279352602615149,2.1883556491043255,3.9957909760123287,3.834190867015914,3.942518951810214,4.2770154105366975
132,4.526538240671446,2.0008186466507043,1.6688072317741873,3.173728084344682,2.3648203088112276,3.6563504442756813,3.28005266677509,2.191400654951402,3.996319333326192,3.827483865151235,3.936304745510593,4.280022557884759
133,4.5339638597147935,1.995988947382994,1.680975201104305,3.171057653152729,2.3654512388494617,3.6630078858063597,3.2819142882416252,2.191342308042031,3.996510995933352,3.8232132029813823,3.931294184517111,4.276451494723253
134,4.5700828970076675,1.9924612465765945,1.68912086455161,3.1682450821860564,2.364680091739757,3.6703464464567714,3.288431897489968,2.1877121420919248,3.9969421224450308,3.8169578282056245,3.9242374256446375,4.273535988712922
135,4.586592670574211,1.9960460021470903,1.693698683691832,3.172367067464702,2.370009561699001,3.673106927869946,3.2912438247162106,2.179800509487122,3.998235360757603,3.8120356246635687,3.918625396821812,4.267109483710135
136,4.587458479082642,1.987863228493361,1.693565781239772,3.17641925714674,2.3692017372741745,3.680355311070542,3.294009035740317,2.176824074416261,3.9976950331053405,3.810812616622747,3.9165767966369076,4.267520537346035
137,4.583994674159148,1.9854340646612338,1.6940979399012646,3.175062884902834,2.3679400556866965,3.6820552649670035,3.2970835369359226,2.1687213414781237,4.000183435840402,3.810663407697355,3.9165287774658157,4.267618107407479
138,4.614472962660988,1.9773937697246151,1.7063010308433482,3.174300375939154,2.367154508579197,3.6907527674243346,3.298368585245706,2.1552626140470097,3.9994828212493823,3.8119690322132254,3.9142822325566176,4.264898656134212
139,4.612941693405728,1.9640975821931044,1.7082159156215138,3.1662770641642997,2.3675354545997767,3.6967085179183594,3.296709998135214,2.14642401525389,3.997843018287079,3.80566135229476,3.90036513953154,4.254429998117842
140,4.606444919771072,1.9688527051126028,1.7074411172997614,3.167503981441206,2.3689350873009105,3.6976130645063683,3.2944360482392905,2.1430524940682334,3.998647507276563,3.800154728923503,3.8944142128050028,4.256210185110936
141,4.597780584060305,1.97398546599876,1.709183518501622,3.1533043264835663,2.3723743443570267,3.6966442968981266,3.286644021526071,2.1385719905272964,3.99514623401004,3.7950811690627675,3.8882868131371597,4.254398063563692
142,4.62627696532121,1.9765845084615352,1.7097830401403147,3.144007958384216,2.3740728404174223,3.6912100271533763,3.2804416069232225,2.1366177097696175,3.980626764335879,3.7814137483613703,3.868560796661073,4.23573092715558
143,4.666222473959271,1.9813661787437635,1.695545936863616,3.1308072915716476,2.377639773416,3.689299019461239,3.2679288274654867,2.125529716877647,3.9669251324404597,3.759789247122744,3.8411325063115127,4.2080819129121485
144,4.660021196251301,1.9846329483366245,1.6823810909719494,3.120052234719593,2.372425922701022,3.6912678370242338,3.259392829952937,2.105029058093471,3.95641447567716,3.744075571328048,3.8211843167022637,4.20305118425208
