scenario,10800-3-m,10800-3-m,10800-3-m,10800-3-m,10800-3-m,10800-3-m,10800-3-m,10800-3-m,10800-3-m,10800-3-m,10800-3-m,10800-3-m,10800-60d,10800-60d,10800-60d,10800-60d,10800-60d,10800-60d,10800-60d,10800-60d,10800-60d,10800-60d,10800-60d,10800-60d,10800-b,10800-b,10800-b,10800-b,10800-b,10800-b,10800-b,10800-b,10800-b,10800-b,10800-b,10800-b,15000-3-m,15000-3-m,15000-3-m,15000-3-m,15000-3-m,15000-3-m,15000-3-m,15000-3-m,15000-3-m,15000-3-m,15000-3-m,15000-3-m,15000-60d,15000-60d,15000-60d,15000-60d,15000-60d,15000-60d,15000-60d,15000-60d,15000-60d,15000-60d,15000-60d,15000-60d,15000-b,15000-b,15000-b,15000-b,15000-b,15000-b,15000-b,15000-b,15000-b,15000-b,15000-b,15000-b,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,Noaction,Noaction,Noaction,Noaction,Noaction,Noaction,Noaction,Noaction,Noaction,Noaction,Noaction,Noaction,fallx2,fallx2,fallx2,fallx2,fallx2,fallx2,fallx2,fallx2,fallx2,fallx2,fallx2,fallx2
region,Confluence,East Delta,Lower Sacramento River,Lower San Joaquin River,NE Suisun,NW Suisun,SE Suisun,SW Suisun,Sacramento River,South Delta,Suisun Marsh,Yolo Bypass,Confluence,East Delta,Lower Sacramento River,Lower San Joaquin River,NE Suisun,NW Suisun,SE Suisun,SW Suisun,Sacramento River,South Delta,Suisun Marsh,Yolo Bypass,Confluence,East Delta,Lower Sacramento River,Lower San Joaquin River,NE Suisun,NW Suisun,SE Suisun,SW Suisun,Sacramento River,South Delta,Suisun Marsh,Yolo Bypass,Confluence,East Delta,Lower Sacramento River,Lower San Joaquin River,NE Suisun,NW Suisun,SE Suisun,SW Suisun,Sacramento River,South Delta,Suisun Marsh,Yolo Bypass,Confluence,East Delta,Lower Sacramento River,Lower San Joaquin River,NE Suisun,NW Suisun,SE Suisun,SW Suisun,Sacramento River,South Delta,Suisun Marsh,Yolo Bypass,Confluence,East Delta,Lower Sacramento River,Lower San Joaquin River,NE Suisun,NW Suisun,SE Suisun,SW Suisun,Sacramento River,South Delta,Suisun Marsh,Yolo Bypass,Confluence,East Delta,Lower Sacramento River,Lower San Joaquin River,NE Suisun,NW Suisun,SE Suisun,SW Suisun,Sacramento River,South Delta,Suisun Marsh,Yolo Bypass,Confluence,East Delta,Lower Sacramento River,Lower San Joaquin River,NE Suisun,NW Suisun,SE Suisun,SW Suisun,Sacramento River,South Delta,Suisun Marsh,Yolo Bypass,Confluence,East Delta,Lower Sacramento River,Lower San Joaquin River,NE Suisun,NW Suisun,SE Suisun,SW Suisun,Sacramento River,South Delta,Suisun Marsh,Yolo Bypass
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-30,1.40,0.10,0.30,0.20,5.30,7.60,5.70,12.20,0.10,0.10,3.20,0.10,1.40,0.10,0.30,0.30,5.50,7.90,5.80,12.50,0.10,0.10,3.70,0.10,0.80,0.10,0.20,0.10,4.20,6.40,4.50,11.00,0.10,0.10,2.70,0.10,1.40,0.10,0.30,0.20,5.30,7.50,5.60,12.10,0.10,0.10,2.60,0.10,1.40,0.10,0.30,0.30,5.40,7.80,5.70,12.40,0.10,0.10,3.40,0.10,1.40,0.10,0.30,0.30,5.40,7.90,5.80,12.40,0.10,0.10,3.50,0.10,1.40,0.10,0.30,0.20,5.30,7.50,5.70,12.10,0.10,0.10,2.30,0.10,1.40,0.10,0.30,0.30,5.50,8.00,5.80,12.50,0.10,0.10,4.00,0.10,0.60,0.10,0.10,0.10,3.60,5.80,3.90,10.30,0.10,0.10,3.20,0.10
2016-10-01,1.40,0.10,0.30,0.20,5.20,7.60,5.70,12.40,0.10,0.10,3.20,0.10,1.40,0.10,0.30,0.30,5.40,7.90,5.80,12.60,0.10,0.10,3.80,0.10,0.80,0.10,0.20,0.10,4.10,6.40,4.50,11.20,0.10,0.10,2.80,0.10,1.30,0.10,0.30,0.20,5.20,7.50,5.60,12.30,0.10,0.10,2.70,0.10,1.40,0.10,0.30,0.30,5.30,7.80,5.70,12.50,0.10,0.10,3.50,0.10,1.40,0.10,0.30,0.30,5.30,7.80,5.70,12.50,0.10,0.10,3.50,0.10,1.40,0.10,0.30,0.20,5.20,7.50,5.70,12.30,0.10,0.10,2.40,0.10,1.40,0.10,0.30,0.30,5.40,7.90,5.80,12.60,0.10,0.10,4.00,0.10,0.60,0.10,0.10,0.10,3.50,5.80,3.90,10.50,0.10,0.10,3.20,0.10
2016-10-02,1.20,0.10,0.20,0.20,5.00,7.30,5.20,11.90,0.10,0.10,3.20,0.10,1.20,0.10,0.20,0.30,5.10,7.60,5.30,12.00,0.10,0.10,3.70,0.10,0.70,0.10,0.20,0.10,3.90,6.10,4.20,10.70,0.10,0.10,2.70,0.10,1.20,0.10,0.20,0.20,4.90,7.20,5.20,11.80,0.10,0.10,2.70,0.10,1.20,0.10,0.20,0.20,5.00,7.50,5.30,12.00,0.10,0.10,3.40,0.10,1.20,0.10,0.20,0.20,5.00,7.50,5.30,12.00,0.10,0.10,3.50,0.10,1.20,0.10,0.20,0.20,5.00,7.20,5.30,11.80,0.10,0.10,2.40,0.10,1.20,0.10,0.20,0.30,5.10,7.60,5.40,12.10,0.10,0.10,3.90,0.10,0.50,0.10,0.10,0.10,3.20,5.50,3.50,10.00,0.10,0.10,3.20,0.10
2016-10-03,1.20,0.10,0.20,0.20,5.00,7.50,5.50,12.70,0.10,0.10,3.20,0.10,1.20,0.10,0.20,0.30,5.10,7.70,5.60,12.90,0.10,0.10,3.70,0.10,0.80,0.10,0.20,0.10,3.90,6.40,4.50,11.70,0.10,0.10,2.80,0.10,1.20,0.10,0.20,0.20,5.00,7.50,5.50,12.60,0.10,0.10,2.70,0.10,1.20,0.10,0.20,0.20,5.00,7.70,5.60,12.80,0.10,0.10,3.40,0.10,1.20,0.10,0.20,0.20,5.00,7.70,5.60,12.80,0.10,0.10,3.50,0.10,1.20,0.10,0.20,0.20,5.00,7.50,5.50,12.60,0.10,0.10,2.40,0.10,1.20,0.10,0.20,0.30,5.10,7.80,5.60,12.90,0.10,0.10,3.90,0.10,0.50,0.10,0.10,0.10,3.20,5.70,3.80,11.00,0.10,0.10,3.20,0.10
2016-10-04,1.20,0.10,0.20,0.20,5.00,7.60,5.50,12.80,0.10,0.10,3.20,0.10,1.20,0.10,0.20,0.20,5.10,7.80,5.60,12.90,0.10,0.10,3.70,0.10,0.80,0.10,0.10,0.10,4.00,6.50,4.50,11.80,0.10,0.10,2.80,0.10,1.20,0.10,0.20,0.20,5.00,7.50,5.50,12.70,0.10,0.10,2.80,0.10,1.20,0.10,0.20,0.20,5.10,7.70,5.50,12.90,0.10,0.10,3.40,0.10,1.20,0.10,0.20,0.20,5.10,7.70,5.50,12.90,0.10,0.10,3.50,0.10,1.20,0.10,0.20,0.20,5.10,7.60,5.50,12.70,0.10,0.10,2.50,0.10,1.20,0.10,0.20,0.30,5.20,7.80,5.60,13.00,0.10,0.10,3.90,0.10,0.50,0.10,0.10,0.10,3.30,5.80,3.80,11.00,0.10,0.10,3.10,0.10
2016-10-05,1.10,0.10,0.20,0.20,4.90,7.60,5.40,12.80,0.10,0.10,3.20,0.10,1.10,0.10,0.20,0.20,5.00,7.70,5.50,12.90,0.10,0.10,3.70,0.10,0.70,0.10,0.10,0.10,4.00,6.50,4.50,11.80,0.10,0.10,2.80,0.10,1.10,0.10,0.20,0.20,4.90,7.50,5.40,12.70,0.10,0.10,2.80,0.10,1.10,0.10,0.20,0.20,5.00,7.70,5.40,12.80,0.10,0.10,3.40,0.10,1.10,0.10,0.20,0.20,5.00,7.70,5.40,12.90,0.10,0.10,3.50,0.10,1.10,0.10,0.20,0.20,5.00,7.50,5.40,12.70,0.10,0.10,2.50,0.10,1.10,0.10,0.20,0.20,5.10,7.80,5.50,13.00,0.10,0.10,3.90,0.10,0.50,0.10,0.10,0.10,3.20,5.70,3.70,11.10,0.10,0.10,3.10,0.10
2016-10-06,1.10,0.10,0.20,0.20,4.90,7.80,5.60,13.40,0.10,0.10,3.20,0.10,1.10,0.10,0.20,0.20,5.00,7.90,5.60,13.50,0.10,0.10,3.70,0.10,0.70,0.10,0.10,0.10,4.00,6.70,4.70,12.60,0.10,0.10,2.80,0.10,1.10,0.10,0.20,0.20,4.90,7.70,5.50,13.40,0.10,0.10,2.80,0.10,1.10,0.10,0.20,0.20,5.00,7.80,5.60,13.50,0.10,0.10,3.40,0.10,1.10,0.10,0.20,0.20,5.00,7.90,5.60,13.50,0.10,0.10,3.50,0.10,1.10,0.10,0.20,0.20,5.00,7.70,5.60,13.40,0.10,0.10,2.50,0.10,1.10,0.10,0.20,0.20,5.00,7.90,5.70,13.60,0.10,0.10,3.90,0.10,0.50,0.10,0.10,0.10,3.20,5.90,3.90,11.80,0.10,0.10,3.10,0.10
2016-10-07,1.10,0.10,0.20,0.20,5.10,8.10,5.90,14.40,0.10,0.10,3.20,0.10,1.20,0.10,0.20,0.20,5.10,8.30,6.00,14.50,0.10,0.10,3.70,0.10,0.80,0.10,0.10,0.10,4.20,7.20,5.10,13.60,0.10,0.10,2.80,0.10,1.10,0.10,0.20,0.20,5.10,8.10,5.90,14.30,0.10,0.10,2.80,0.10,1.20,0.10,0.20,0.20,5.10,8.20,6.00,14.40,0.10,0.10,3.40,0.10,1.20,0.10,0.20,0.20,5.10,8.20,6.00,14.40,0.10,0.10,3.50,0.10,1.20,0.10,0.20,0.20,5.10,8.10,6.00,14.30,0.10,0.10,2.50,0.10,1.20,0.10,0.20,0.20,5.20,8.30,6.00,14.50,0.10,0.10,3.90,0.10,0.50,0.10,0.10,0.10,3.40,6.30,4.30,12.90,0.10,0.10,3.10,0.10
2016-10-08,1.20,0.10,0.20,0.20,5.30,8.50,6.30,14.90,0.10,0.10,3.20,0.10,1.20,0.10,0.20,0.20,5.40,8.60,6.40,15.00,0.10,0.10,3.70,0.10,0.90,0.10,0.20,0.10,4.50,7.50,5.60,14.20,0.10,0.10,2.80,0.10,1.20,0.10,0.20,0.20,5.30,8.40,6.30,14.80,0.10,0.10,2.80,0.10,1.20,0.10,0.20,0.20,5.30,8.50,6.30,15.00,0.10,0.10,3.40,0.10,1.20,0.10,0.20,0.20,5.40,8.50,6.40,15.00,0.10,0.10,3.40,0.10,1.30,0.10,0.20,0.20,5.40,8.40,6.30,14.80,0.10,0.10,2.60,0.10,1.30,0.10,0.20,0.20,5.40,8.60,6.40,15.00,0.10,0.10,3.90,0.10,0.50,0.10,0.10,0.10,3.60,6.70,4.70,13.50,0.10,0.10,3.00,0.10
2016-10-09,1.40,0.10,0.20,0.20,5.90,8.90,6.80,15.40,0.10,0.10,3.30,0.10,1.40,0.10,0.30,0.30,5.90,9.00,6.90,15.50,0.10,0.10,3.70,0.10,1.00,0.10,0.20,0.20,5.10,8.00,6.10,14.80,0.10,0.10,2.80,0.10,1.40,0.10,0.20,0.20,5.80,8.90,6.80,15.40,0.10,0.10,2.90,0.10,1.40,0.10,0.30,0.20,5.90,9.00,6.80,15.50,0.10,0.10,3.50,0.10,1.40,0.10,0.30,0.20,5.90,9.00,6.90,15.50,0.10,0.10,3.50,0.10,1.40,0.10,0.30,0.20,5.90,8.90,6.80,15.30,0.10,0.10,2.60,0.10,1.50,0.10,0.30,0.30,6.00,9.10,6.90,15.50,0.10,0.10,3.90,0.10,0.70,0.10,0.10,0.10,4.20,7.20,5.20,14.00,0.10,0.10,3.10,0.10
2016-10-10,1.40,0.10,0.30,0.20,5.90,8.70,6.60,14.70,0.10,0.10,3.30,0.10,1.40,0.10,0.30,0.20,6.00,8.80,6.70,14.80,0.10,0.10,3.70,0.10,1.10,0.10,0.20,0.20,5.20,7.90,5.90,14.10,0.10,0.10,2.90,0.10,1.40,0.10,0.30,0.20,5.90,8.60,6.60,14.70,0.10,0.10,2.90,0.10,1.40,0.10,0.30,0.20,6.00,8.80,6.60,14.80,0.10,0.10,3.50,0.10,1.40,0.10,0.30,0.20,6.00,8.80,6.70,14.80,0.10,0.10,3.50,0.10,1.40,0.10,0.30,0.20,6.00,8.70,6.60,14.70,0.10,0.10,2.70,0.10,1.40,0.10,0.30,0.30,6.00,8.80,6.70,14.90,0.10,0.10,3.90,0.10,0.70,0.10,0.10,0.10,4.30,6.90,5.00,13.20,0.10,0.10,3.10,0.10
2016-10-11,1.30,0.10,0.30,0.20,5.80,8.50,6.30,14.00,0.10,0.10,3.40,0.10,1.40,0.10,0.30,0.20,5.90,8.60,6.40,14.10,0.10,0.10,3.80,0.10,1.00,0.10,0.20,0.10,5.10,7.70,5.70,13.40,0.10,0.10,2.90,0.10,1.30,0.10,0.30,0.20,5.80,8.40,6.30,13.90,0.10,0.10,2.90,0.10,1.30,0.10,0.30,0.20,5.80,8.50,6.40,14.00,0.10,0.10,3.50,0.10,1.30,0.10,0.30,0.20,5.80,8.50,6.40,14.00,0.10,0.10,3.50,0.10,1.30,0.10,0.30,0.20,5.80,8.40,6.30,13.90,0.10,0.10,2.70,0.10,1.40,0.10,0.30,0.20,5.90,8.60,6.40,14.10,0.10,0.10,3.90,0.10,0.60,0.10,0.10,0.10,4.10,6.70,4.70,12.40,0.10,0.10,3.10,0.10
2016-10-12,1.40,0.10,0.30,0.20,5.80,8.40,6.30,13.70,0.10,0.10,3.40,0.10,1.40,0.10,0.30,0.20,5.90,8.50,6.40,13.80,0.10,0.10,3.80,0.10,1.10,0.10,0.20,0.10,5.20,7.60,5.70,13.10,0.10,0.10,3.00,0.10,1.40,0.10,0.30,0.20,5.80,8.30,6.30,13.70,0.10,0.10,3.00,0.10,1.40,0.10,0.30,0.20,5.80,8.50,6.30,13.80,0.10,0.10,3.60,0.10,1.40,0.10,0.30,0.20,5.80,8.50,6.40,13.80,0.10,0.10,3.60,0.10,1.40,0.10,0.30,0.20,5.80,8.40,6.30,13.70,0.10,0.10,2.80,0.10,1.40,0.10,0.30,0.20,5.90,8.50,6.40,13.80,0.10,0.10,4.00,0.10,0.70,0.10,0.10,0.10,4.20,6.60,4.70,12.10,0.10,0.10,3.10,0.10
2016-10-13,1.50,0.10,0.30,0.20,6.00,8.60,6.70,13.90,0.10,0.10,3.40,0.10,1.60,0.10,0.30,0.20,6.10,8.70,6.70,14.00,0.10,0.10,3.80,0.10,1.30,0.10,0.20,0.20,5.50,7.90,6.10,13.40,0.10,0.10,3.00,0.10,1.50,0.10,0.30,0.20,6.00,8.50,6.70,13.90,0.10,0.10,3.00,0.10,1.60,0.10,0.30,0.20,6.10,8.60,6.70,14.00,0.10,0.10,3.50,0.10,1.60,0.10,0.30,0.20,6.10,8.60,6.70,14.00,0.10,0.10,3.60,0.10,1.60,0.10,0.30,0.20,6.00,8.50,6.70,13.90,0.10,0.10,2.80,0.10,1.60,0.10,0.30,0.20,6.10,8.70,6.80,14.00,0.10,0.10,3.90,0.10,0.80,0.10,0.20,0.10,4.40,6.80,5.10,12.30,0.10,0.10,3.10,0.10
2016-10-14,1.70,0.10,0.40,0.20,6.20,8.70,6.90,13.90,0.10,0.10,3.50,0.10,1.70,0.10,0.40,0.20,6.30,8.80,7.00,14.00,0.10,0.10,3.90,0.10,1.40,0.10,0.30,0.20,5.70,8.00,6.40,13.40,0.10,0.10,3.10,0.10,1.70,0.10,0.40,0.20,6.20,8.60,6.90,13.90,0.10,0.10,3.10,0.10,1.70,0.10,0.40,0.20,6.30,8.70,7.00,14.00,0.10,0.10,3.60,0.10,1.70,0.10,0.40,0.20,6.30,8.70,7.00,14.00,0.10,0.10,3.70,0.10,1.70,0.10,0.40,0.20,6.20,8.60,6.90,13.80,0.10,0.10,2.90,0.10,1.80,0.10,0.40,0.20,6.30,8.80,7.00,14.00,0.10,0.10,4.00,0.10,1.00,0.10,0.20,0.10,4.70,7.00,5.40,12.30,0.10,0.10,3.20,0.10
2016-10-15,1.90,0.10,0.40,0.20,6.50,8.80,7.20,14.00,0.10,0.10,3.50,0.10,1.90,0.10,0.50,0.30,6.60,8.90,7.20,14.10,0.10,0.10,3.90,0.10,1.70,0.10,0.40,0.20,6.00,8.20,6.70,13.50,0.10,0.10,3.10,0.10,1.90,0.10,0.40,0.20,6.50,8.80,7.10,14.00,0.10,0.10,3.10,0.10,1.90,0.10,0.50,0.20,6.50,8.90,7.20,14.10,0.10,0.10,3.70,0.10,1.90,0.10,0.50,0.20,6.50,8.90,7.20,14.10,0.10,0.10,3.70,0.10,1.90,0.10,0.40,0.20,6.50,8.80,7.10,14.00,0.10,0.10,2.90,0.10,2.00,0.10,0.50,0.30,6.60,8.90,7.30,14.20,0.10,0.10,4.10,0.10,1.10,0.10,0.20,0.10,5.00,7.20,5.70,12.50,0.10,0.10,3.30,0.10
2016-10-16,1.80,0.10,0.40,0.20,6.40,8.60,6.80,13.50,0.10,0.10,3.60,0.10,1.90,0.10,0.40,0.20,6.50,8.70,6.90,13.50,0.10,0.10,3.90,0.10,1.60,0.10,0.40,0.20,6.00,8.10,6.40,13.00,0.10,0.10,3.20,0.10,1.80,0.10,0.40,0.20,6.40,8.50,6.80,13.40,0.10,0.10,3.20,0.10,1.80,0.10,0.40,0.20,6.50,8.70,6.90,13.50,0.10,0.10,3.70,0.10,1.80,0.10,0.40,0.20,6.50,8.70,6.90,13.50,0.10,0.10,3.70,0.10,1.80,0.10,0.40,0.20,6.40,8.50,6.80,13.40,0.10,0.10,3.00,0.10,1.90,0.10,0.40,0.20,6.50,8.70,6.90,13.60,0.10,0.10,4.10,0.10,1.10,0.10,0.20,0.10,4.90,7.00,5.30,11.90,0.10,0.10,3.30,0.10
2016-10-17,1.60,0.10,0.40,0.20,6.10,8.30,6.40,12.80,0.10,0.10,3.60,0.10,1.70,0.10,0.40,0.20,6.20,8.40,6.40,12.90,0.10,0.10,3.90,0.10,1.40,0.10,0.30,0.20,5.70,7.80,6.00,12.40,0.10,0.10,3.20,0.10,1.60,0.10,0.40,0.20,6.10,8.20,6.30,12.80,0.10,0.10,3.20,0.10,1.60,0.10,0.40,0.20,6.10,8.40,6.40,12.90,0.10,0.10,3.70,0.10,1.60,0.10,0.40,0.20,6.10,8.40,6.40,12.90,0.10,0.10,3.70,0.10,1.60,0.10,0.40,0.20,6.10,8.20,6.30,12.80,0.10,0.10,3.00,0.10,1.70,0.10,0.40,0.20,6.20,8.40,6.50,13.00,0.10,0.10,4.10,0.10,0.90,0.10,0.20,0.10,4.60,6.70,4.90,11.30,0.10,0.10,3.20,0.10
2016-10-18,1.40,0.10,0.30,0.20,5.70,8.00,5.90,12.40,0.10,0.10,3.60,0.10,1.50,0.10,0.30,0.20,5.80,8.10,6.00,12.50,0.10,0.10,3.90,0.10,1.30,0.10,0.30,0.20,5.30,7.50,5.60,12.00,0.10,0.10,3.20,0.10,1.40,0.10,0.30,0.20,5.70,7.90,5.90,12.30,0.10,0.10,3.20,0.10,1.50,0.10,0.30,0.20,5.80,8.00,6.00,12.50,0.10,0.10,3.70,0.10,1.50,0.10,0.30,0.20,5.80,8.10,6.00,12.50,0.10,0.10,3.70,0.10,1.40,0.10,0.30,0.20,5.70,7.90,5.90,12.30,0.10,0.10,3.00,0.10,1.50,0.10,0.30,0.20,5.80,8.10,6.00,12.50,0.10,0.10,4.00,0.10,0.80,0.10,0.20,0.10,4.30,6.40,4.50,10.90,0.10,0.10,3.20,0.10
2016-10-19,1.40,0.10,0.30,0.20,5.50,7.80,5.80,12.40,0.10,0.10,3.50,0.10,1.40,0.10,0.30,0.20,5.60,7.90,5.90,12.50,0.10,0.10,3.80,0.10,1.20,0.10,0.30,0.20,5.20,7.40,5.50,12.10,0.10,0.10,3.10,0.10,1.40,0.10,0.30,0.20,5.50,7.80,5.80,12.40,0.10,0.10,3.10,0.10,1.40,0.10,0.30,0.20,5.60,7.90,5.90,12.50,0.10,0.10,3.60,0.10,1.40,0.10,0.30,0.20,5.60,7.90,5.90,12.50,0.10,0.10,3.60,0.10,1.40,0.10,0.30,0.20,5.50,7.70,5.80,12.30,0.10,0.10,2.90,0.10,1.40,0.10,0.30,0.20,5.60,8.00,5.90,12.60,0.10,0.10,4.00,0.10,0.80,0.10,0.20,0.10,4.10,6.30,4.50,10.90,0.10,0.10,3.10,0.10
2016-10-20,1.40,0.10,0.30,0.20,5.60,8.00,6.10,12.90,0.10,0.10,3.50,0.10,1.50,0.10,0.30,0.20,5.70,8.10,6.20,13.00,0.10,0.10,3.90,0.10,1.30,0.10,0.30,0.20,5.30,7.60,5.80,12.60,0.10,0.10,3.20,0.10,1.40,0.10,0.30,0.20,5.60,7.90,6.10,12.90,0.10,0.10,3.20,0.10,1.50,0.10,0.30,0.20,5.70,8.00,6.10,13.00,0.10,0.10,3.60,0.10,1.50,0.10,0.30,0.20,5.70,8.00,6.20,13.00,0.10,0.10,3.70,0.10,1.40,0.10,0.30,0.20,5.50,7.90,6.00,12.80,0.10,0.10,3.00,0.10,1.50,0.10,0.30,0.20,5.70,8.10,6.20,13.10,0.10,0.10,4.00,0.10,0.80,0.10,0.20,0.10,4.20,6.50,4.70,11.50,0.10,0.10,3.20,0.10
2016-10-21,1.50,0.10,0.30,0.20,5.70,8.10,6.20,13.10,0.10,0.10,3.60,0.10,1.50,0.10,0.30,0.20,5.70,8.20,6.20,13.20,0.10,0.10,3.90,0.10,1.30,0.10,0.30,0.20,5.40,7.70,5.90,12.80,0.10,0.10,3.20,0.10,1.40,0.10,0.30,0.20,5.60,8.00,6.10,13.00,0.10,0.10,3.20,0.10,1.50,0.10,0.30,0.20,5.70,8.10,6.20,13.20,0.10,0.10,3.70,0.10,1.50,0.10,0.30,0.20,5.70,8.10,6.20,13.20,0.10,0.10,3.70,0.10,1.40,0.10,0.30,0.20,5.60,8.00,6.10,13.00,0.10,0.10,3.00,0.10,1.50,0.10,0.30,0.20,5.80,8.20,6.20,13.20,0.10,0.10,4.00,0.10,0.90,0.10,0.20,0.10,4.30,6.60,4.80,11.70,0.10,0.10,3.20,0.10
2016-10-22,1.50,0.10,0.30,0.20,5.80,8.20,6.20,13.30,0.10,0.10,3.60,0.10,1.50,0.10,0.30,0.20,5.80,8.30,6.30,13.40,0.10,0.10,3.90,0.10,1.40,0.10,0.30,0.20,5.50,7.90,6.00,13.10,0.10,0.10,3.30,0.10,1.50,0.10,0.30,0.20,5.70,8.10,6.20,13.30,0.10,0.10,3.30,0.10,1.50,0.10,0.30,0.20,5.80,8.30,6.30,13.40,0.10,0.10,3.70,0.10,1.50,0.10,0.30,0.20,5.80,8.30,6.30,13.40,0.10,0.10,3.70,0.10,1.50,0.10,0.30,0.20,5.70,8.10,6.20,13.20,0.10,0.10,3.10,0.10,1.50,0.10,0.30,0.20,5.90,8.30,6.30,13.40,0.10,0.10,4.00,0.10,0.90,0.10,0.20,0.10,4.40,6.70,4.90,12.00,0.10,0.10,3.20,0.10
2016-10-23,1.60,0.10,0.30,0.20,5.90,8.30,6.50,13.70,0.10,0.10,3.60,0.10,1.60,0.10,0.40,0.20,6.00,8.40,6.60,13.80,0.10,0.10,3.90,0.10,1.50,0.10,0.30,0.20,5.70,8.00,6.30,13.50,0.10,0.10,3.30,0.10,1.50,0.10,0.30,0.20,5.90,8.30,6.40,13.70,0.10,0.10,3.30,0.10,1.60,0.10,0.30,0.20,6.00,8.40,6.60,13.80,0.10,0.10,3.70,0.10,1.60,0.10,0.40,0.20,6.00,8.40,6.60,13.80,0.10,0.10,3.70,0.10,1.50,0.10,0.30,0.20,5.90,8.20,6.40,13.60,0.10,0.10,3.10,0.10,1.60,0.10,0.40,0.20,6.00,8.40,6.60,13.80,0.10,0.10,4.00,0.10,0.90,0.10,0.20,0.10,4.60,6.90,5.20,12.40,0.10,0.10,3.20,0.10
2016-10-24,1.50,0.10,0.30,0.20,5.90,8.30,6.40,13.30,0.10,0.10,3.60,0.10,1.60,0.10,0.30,0.20,6.00,8.40,6.50,13.40,0.10,0.10,3.90,0.10,1.50,0.10,0.30,0.20,5.70,8.00,6.20,13.10,0.10,0.10,3.30,0.10,1.50,0.10,0.30,0.20,5.90,8.20,6.30,13.30,0.10,0.10,3.30,0.10,1.60,0.10,0.30,0.20,6.00,8.30,6.40,13.40,0.10,0.10,3.70,0.10,1.60,0.10,0.30,0.20,6.00,8.30,6.40,13.40,0.10,0.10,3.70,0.10,1.50,0.10,0.30,0.20,5.90,8.10,6.30,13.20,0.10,0.10,3.10,0.10,1.60,0.10,0.30,0.20,6.00,8.40,6.50,13.50,0.10,0.10,4.00,0.10,0.90,0.10,0.20,0.10,4.60,6.80,5.10,12.00,0.10,0.10,3.20,0.10
2016-10-25,1.50,0.10,0.30,0.20,5.90,8.30,6.30,13.20,0.10,0.10,3.60,0.10,1.60,0.10,0.30,0.20,6.00,8.40,6.30,13.30,0.10,0.10,3.90,0.10,1.40,0.10,0.30,0.20,5.70,8.00,6.10,13.00,0.10,0.10,3.30,0.10,1.50,0.10,0.30,0.20,5.80,8.20,6.20,13.10,0.10,0.10,3.30,0.10,1.60,0.10,0.30,0.20,5.90,8.30,6.30,13.30,0.10,0.10,3.70,0.10,1.60,0.10,0.30,0.20,5.90,8.30,6.30,13.30,0.10,0.10,3.70,0.10,1.50,0.10,0.30,0.20,5.80,8.10,6.20,13.10,0.10,0.10,3.10,0.10,1.60,0.10,0.30,0.20,6.00,8.40,6.40,13.30,0.10,0.10,4.00,0.10,0.90,0.10,0.20,0.10,4.60,6.80,5.00,11.90,0.10,0.10,3.20,0.10
2016-10-26,1.50,0.10,0.30,0.20,5.80,8.20,6.20,13.10,0.10,0.10,3.60,0.10,1.50,0.10,0.30,0.20,5.90,8.30,6.30,13.20,0.10,0.10,3.90,0.10,1.40,0.10,0.30,0.20,5.70,8.00,6.10,13.00,0.10,0.10,3.30,0.10,1.50,0.10,0.30,0.20,5.80,8.10,6.20,13.10,0.10,0.10,3.30,0.10,1.50,0.10,0.30,0.20,5.90,8.30,6.30,13.20,0.10,0.10,3.70,0.10,1.50,0.10,0.30,0.20,5.90,8.30,6.30,13.20,0.10,0.10,3.70,0.10,1.50,0.10,0.30,0.20,5.70,8.10,6.10,13.00,0.10,0.10,3.10,0.10,1.60,0.10,0.30,0.20,5.90,8.30,6.30,13.20,0.10,0.10,4.00,0.10,0.90,0.10,0.20,0.10,4.60,6.80,5.00,11.90,0.10,0.10,3.20,0.10
2016-10-27,1.50,0.10,0.30,0.20,5.80,8.30,6.40,13.30,0.10,0.10,3.60,0.10,1.60,0.10,0.30,0.20,5.90,8.40,6.40,13.40,0.10,0.10,3.90,0.10,1.50,0.10,0.30,0.20,5.70,8.10,6.20,13.20,0.10,0.10,3.30,0.10,1.50,0.10,0.30,0.20,5.80,8.20,6.30,13.30,0.10,0.10,3.30,0.10,1.60,0.10,0.30,0.20,5.90,8.30,6.40,13.40,0.10,0.10,3.70,0.10,1.60,0.10,0.30,0.20,5.90,8.30,6.40,13.40,0.10,0.10,3.70,0.10,1.50,0.10,0.30,0.20,5.70,8.10,6.30,13.20,0.10,0.10,3.10,0.10,1.60,0.10,0.30,0.20,5.90,8.40,6.40,13.50,0.10,0.10,4.00,0.10,1.00,0.10,0.20,0.10,4.60,6.90,5.20,12.10,0.10,0.10,3.20,0.10
