time,region,min,max,mean
2024-05-21 16:30:00,East Delta,0.0,0.1,0.0
2024-05-21 16:30:00,Lower Sacramento River,0.1,0.1,0.1
2024-05-21 16:30:00,South Delta,0.0,0.6,0.1
2024-05-21 16:30:00,Suisun Marsh,0.1,1.4,0.7
2024-05-21 16:30:00,Confluence,0.1,0.2,0.1
2024-05-21 16:30:00,Lower San Joaquin River,0.1,0.1,0.1
2024-05-21 16:30:00,SW Suisun,1.5,5.8,3.6
2024-05-21 16:30:00,SE Suisun,0.1,3.3,0.6
2024-05-21 16:30:00,NE Suisun,0.1,1.8,0.5
2024-05-21 16:30:00,NW Suisun,0.1,4.0,1.3
2024-05-22 16:30:00,Yolo Bypass,0.0,0.3,0.1
2024-05-22 16:30:00,Sacramento River,0.0,0.1,0.1
2024-05-22 16:30:00,East Delta,0.0,0.1,0.0
2024-05-22 16:30:00,Lower Sacramento River,0.1,0.1,0.1
2024-05-22 16:30:00,South Delta,0.0,0.5,0.1
2024-05-22 16:30:00,Suisun Marsh,0.1,1.5,0.7
2024-05-22 16:30:00,Confluence,0.1,0.1,0.1
2024-05-22 16:30:00,Lower San Joaquin River,0.1,0.1,0.1
2024-05-22 16:30:00,SW Suisun,1.7,6.0,3.7
2024-05-22 16:30:00,SE Suisun,0.1,3.5,0.7
2024-05-22 16:30:00,NE Suisun,0.2,1.9,0.6
2024-05-22 16:30:00,NW Suisun,0.1,4.0,1.4
2024-05-23 16:30:00,Yolo Bypass,0.0,0.3,0.1
2024-05-23 16:30:00,Sacramento River,0.0,0.1,0.1
2024-05-23 16:30:00,East Delta,0.0,0.1,0.0
2024-05-23 16:30:00,Lower Sacramento River,0.1,0.1,0.1
2024-05-23 16:30:00,South Delta,0.0,0.5,0.1
2024-05-23 16:30:00,Suisun Marsh,0.1,1.6,0.7
2024-05-23 16:30:00,Confluence,0.1,0.1,0.1
2024-05-23 16:30:00,Lower San Joaquin River,0.1,0.1,0.1
2024-05-23 16:30:00,SW Suisun,2.1,6.6,4.1
2024-05-23 16:30:00,SE Suisun,0.1,3.8,0.8
2024-05-23 16:30:00,NE Suisun,0.2,2.3,0.7
2024-05-23 16:30:00,NW Suisun,0.2,4.4,1.5
2024-05-24 16:30:00,Yolo Bypass,0.0,0.3,0.1
2024-05-24 16:30:00,Sacramento River,0.0,0.1,0.1
2024-05-24 16:30:00,East Delta,0.0,0.1,0.0
2024-05-24 16:30:00,Lower Sacramento River,0.1,0.1,0.1
2024-05-24 16:30:00,South Delta,0.0,0.4,0.1
2024-05-24 16:30:00,Suisun Marsh,0.1,1.5,0.7
2024-05-24 16:30:00,Confluence,0.1,0.2,0.1
2024-05-24 16:30:00,Lower San Joaquin River,0.1,0.1,0.1
2024-05-24 16:30:00,SW Suisun,2.0,6.4,4.0
2024-05-24 16:30:00,SE Suisun,0.1,4.0,0.8
2024-05-24 16:30:00,NE Suisun,0.2,2.5,0.7
2024-05-24 16:30:00,NW Suisun,0.2,4.3,1.4
2024-05-25 16:30:00,Yolo Bypass,0.0,0.3,0.1
2024-05-25 16:30:00,Sacramento River,0.0,0.1,0.1
2024-05-25 16:30:00,East Delta,0.0,0.1,0.0
2024-05-25 16:30:00,Lower Sacramento River,0.1,0.1,0.1
2024-05-25 16:30:00,South Delta,0.0,0.5,0.1
2024-05-25 16:30:00,Suisun Marsh,0.1,1.7,0.7
2024-05-25 16:30:00,Confluence,0.1,0.1,0.1
2024-05-25 16:30:00,Lower San Joaquin River,0.1,0.1,0.1
2024-05-25 16:30:00,SW Suisun,1.8,5.8,3.7
2024-05-25 16:30:00,SE Suisun,0.1,3.4,0.7
2024-05-25 16:30:00,NE Suisun,0.2,2.3,0.7
2024-05-25 16:30:00,NW Suisun,0.2,4.0,1.5
2024-05-26 16:30:00,Yolo Bypass,0.0,0.3,0.1
2024-05-26 16:30:00,Sacramento River,0.0,0.1,0.1
2024-05-26 16:30:00,East Delta,0.0,0.1,0.0
2024-05-26 16:30:00,Lower Sacramento River,0.1,0.1,0.1
2024-05-26 16:30:00,South Delta,0.0,0.5,0.1
2024-05-26 16:30:00,Suisun Marsh,0.1,2.0,0.7
2024-05-26 16:30:00,Confluence,0.1,0.1,0.1
2024-05-26 16:30:00,Lower San Joaquin River,0.1,0.1,0.1
2024-05-26 16:30:00,SW Suisun,1.8,6.0,3.8
2024-05-26 16:30:00,SE Suisun,0.1,3.2,0.7
2024-05-26 16:30:00,NE Suisun,0.2,2.2,0.7
2024-05-26 16:30:00,NW Suisun,0.2,4.3,1.6
2024-05-27 16:30:00,Yolo Bypass,0.0,0.3,0.1
2024-05-27 16:30:00,Sacramento River,0.0,0.1,0.1
2024-05-27 16:30:00,East Delta,0.0,0.1,0.0
2024-05-27 16:30:00,Lower Sacramento River,0.1,0.1,0.1
2024-05-27 16:30:00,South Delta,0.0,0.4,0.1
2024-05-27 16:30:00,Suisun Marsh,0.1,2.0,0.7
2024-05-27 16:30:00,Confluence,0.1,0.1,0.1
2024-05-27 16:30:00,Lower San Joaquin River,0.1,0.1,0.1
2024-05-27 16:30:00,SW Suisun,1.8,5.5,3.8
2024-05-27 16:30:00,SE Suisun,0.1,2.4,0.8
2024-05-27 16:30:00,NE Suisun,0.2,2.3,0.7
2024-05-27 16:30:00,NW Suisun,0.2,4.3,1.7
2024-05-28 16:30:00,Yolo Bypass,0.0,0.3,0.1
2024-05-28 16:30:00,Sacramento River,0.0,0.1,0.1
2024-05-28 16:30:00,East Delta,0.0,0.1,0.0
2024-05-28 16:30:00,Lower Sacramento River,0.1,0.1,0.1
2024-05-28 16:30:00,South Delta,0.0,0.5,0.1
2024-05-28 16:30:00,Suisun Marsh,0.1,2.0,0.7
2024-05-28 16:30:00,Confluence,0.1,0.1,0.1
2024-05-28 16:30:00,Lower San Joaquin River,0.1,0.1,0.1
2024-05-28 16:30:00,SW Suisun,1.6,5.3,3.4
2024-05-28 16:30:00,SE Suisun,0.1,1.9,0.6
2024-05-28 16:30:00,NE Suisun,0.2,2.3,0.7
2024-05-28 16:30:00,NW Suisun,0.5,4.1,1.6
2024-05-29 16:30:00,Yolo Bypass,0.0,0.3,0.1
2024-05-29 16:30:00,Sacramento River,0.0,0.1,0.1
2024-05-29 16:30:00,East Delta,0.0,0.1,0.0
2024-05-29 16:30:00,Lower Sacramento River,0.1,0.1,0.1
2024-05-29 16:30:00,South Delta,0.0,0.6,0.1
2024-05-29 16:30:00,Suisun Marsh,0.1,1.7,0.7
2024-05-29 16:30:00,Confluence,0.1,0.1,0.1
2024-05-29 16:30:00,Lower San Joaquin River,0.1,0.1,0.1
2024-05-29 16:30:00,SW Suisun,1.7,6.0,3.7
2024-05-29 16:30:00,SE Suisun,0.1,2.0,0.6
2024-05-29 16:30:00,NE Suisun,0.2,1.6,0.6
2024-05-29 16:30:00,NW Suisun,0.3,4.6,1.5
2024-05-30 16:30:00,Yolo Bypass,0.0,0.3,0.1
2024-05-30 16:30:00,Sacramento River,0.0,0.1,0.1
2024-05-30 16:30:00,East Delta,0.0,0.1,0.0
2024-05-30 16:30:00,Lower Sacramento River,0.1,0.1,0.1
2024-05-30 16:30:00,South Delta,0.0,0.7,0.1
2024-05-30 16:30:00,Suisun Marsh,0.1,1.7,0.7
2024-05-30 16:30:00,Confluence,0.1,0.1,0.1
2024-05-30 16:30:00,Lower San Joaquin River,0.1,0.1,0.1
2024-05-30 16:30:00,SW Suisun,2.0,6.9,4.5
2024-05-30 16:30:00,SE Suisun,0.1,2.7,0.7
2024-05-30 16:30:00,NE Suisun,0.2,1.8,0.7
2024-05-30 16:30:00,NW Suisun,0.2,5.3,1.7
2024-05-31 16:30:00,Yolo Bypass,0.0,0.3,0.1
2024-05-31 16:30:00,Sacramento River,0.0,0.1,0.1
2024-05-31 16:30:00,East Delta,0.0,0.1,0.1
2024-05-31 16:30:00,Lower Sacramento River,0.1,0.1,0.1
2024-05-31 16:30:00,South Delta,0.0,0.9,0.1
2024-05-31 16:30:00,Suisun Marsh,0.1,2.0,0.8
2024-05-31 16:30:00,Confluence,0.1,0.2,0.1
2024-05-31 16:30:00,Lower San Joaquin River,0.1,0.1,0.1
2024-05-31 16:30:00,SW Suisun,2.5,8.0,5.5
2024-05-31 16:30:00,SE Suisun,0.2,3.3,1.1
2024-05-31 16:30:00,NE Suisun,0.3,2.5,1.1
2024-05-31 16:30:00,NW Suisun,0.3,6.2,2.1
2024-06-01 16:30:00,Yolo Bypass,0.0,0.3,0.1
2024-06-01 16:30:00,Sacramento River,0.0,0.1,0.1
2024-06-01 16:30:00,East Delta,0.0,0.1,0.1
2024-06-01 16:30:00,Lower Sacramento River,0.1,0.1,0.1
2024-06-01 16:30:00,South Delta,0.0,1.3,0.1
2024-06-01 16:30:00,Suisun Marsh,0.1,2.8,0.9
2024-06-01 16:30:00,Confluence,0.1,0.3,0.1
2024-06-01 16:30:00,Lower San Joaquin River,0.1,0.1,0.1
2024-06-01 16:30:00,SW Suisun,3.1,8.2,5.8
2024-06-01 16:30:00,SE Suisun,0.2,5.3,1.4
2024-06-01 16:30:00,NE Suisun,0.5,2.8,1.3
2024-06-01 16:30:00,NW Suisun,0.3,6.1,2.5
2024-06-02 16:30:00,Yolo Bypass,0.0,0.3,0.1
2024-06-02 16:30:00,Sacramento River,0.0,0.1,0.1
2024-06-02 16:30:00,East Delta,0.0,0.1,0.1
2024-06-02 16:30:00,Lower Sacramento River,0.1,0.1,0.1
2024-06-02 16:30:00,South Delta,0.0,1.3,0.1
2024-06-02 16:30:00,Suisun Marsh,0.2,3.6,1.0
2024-06-02 16:30:00,Confluence,0.1,0.5,0.2
2024-06-02 16:30:00,Lower San Joaquin River,0.1,0.1,0.1
2024-06-02 16:30:00,SW Suisun,3.7,8.7,6.2
2024-06-02 16:30:00,SE Suisun,0.3,5.7,1.6
2024-06-02 16:30:00,NE Suisun,0.6,3.5,1.6
2024-06-02 16:30:00,NW Suisun,0.4,6.5,2.9
2024-06-03 16:30:00,Yolo Bypass,0.0,0.3,0.1
2024-06-03 16:30:00,Sacramento River,0.0,0.1,0.1
2024-06-03 16:30:00,East Delta,0.0,0.1,0.1
2024-06-03 16:30:00,Lower Sacramento River,0.1,0.1,0.1
2024-06-03 16:30:00,South Delta,0.0,0.9,0.1
2024-06-03 16:30:00,Suisun Marsh,0.1,3.7,1.1
2024-06-03 16:30:00,Confluence,0.1,0.4,0.2
2024-06-03 16:30:00,Lower San Joaquin River,0.1,0.1,0.1
2024-06-03 16:30:00,SW Suisun,3.3,8.0,5.8
2024-06-03 16:30:00,SE Suisun,0.3,5.3,1.6
2024-06-03 16:30:00,NE Suisun,0.6,3.6,1.5
2024-06-03 16:30:00,NW Suisun,0.4,6.4,3.0
2024-06-04 16:30:00,Yolo Bypass,0.0,0.3,0.1
2024-06-04 16:30:00,Sacramento River,0.0,0.1,0.1
2024-06-04 16:30:00,East Delta,0.0,0.1,0.1
2024-06-04 16:30:00,Lower Sacramento River,0.1,0.1,0.1
2024-06-04 16:30:00,South Delta,0.0,0.8,0.1
2024-06-04 16:30:00,Suisun Marsh,0.1,3.4,1.1
2024-06-04 16:30:00,Confluence,0.1,0.6,0.2
2024-06-04 16:30:00,Lower San Joaquin River,0.1,0.1,0.1
2024-06-04 16:30:00,SW Suisun,3.8,8.9,6.7
2024-06-04 16:30:00,SE Suisun,0.4,6.7,1.9
2024-06-04 16:30:00,NE Suisun,0.6,3.8,1.5
2024-06-04 16:30:00,NW Suisun,0.6,7.4,3.1
2024-06-05 16:30:00,Yolo Bypass,0.0,0.3,0.1
2024-06-05 16:30:00,Sacramento River,0.0,0.1,0.1
2024-06-05 16:30:00,East Delta,0.0,0.1,0.1
2024-06-05 16:30:00,Lower Sacramento River,0.1,0.2,0.1
