Date	Seq.Day	Frc.Max.Daylight	Temp.ANH	Temp.HON	Temp.SSI	NTU.ANH	NTU.HON	NTU.SSI
7/27/2018	57	0.96054115	22.41296188	20.85178375	22.10680313	13.31661458	63.8828125	12.85473684
7/28/2018	58	0.959413754	22.31197	20.716935	22.04632375	12.95489583	45.91822917	11.66354167
7/29/2018	59	0.958286359	22.13545125	20.54620375	21.96529875	12.935	37.275	11.028125
7/30/2018	60	0.956031567	22.00118125	20.54331	21.90626625	12.24927083	44.8875	9.690625
7/31/2018	61	0.953776776	21.99322344	20.63265453	22.00092805	12.01608073	44.52330729	9.536956522
8/1/2018	62	0.951521984	22.031855	20.66832	22.04140438	12.15739583	47.18020833	19.71473684
8/2/2018	63	0.949267193	22.0445875	20.68278875	22.02548875	11.85104167	48.71145833	9.548958333
8/3/2018	64	0.948139797	22.12503375	20.77046938	22.12387625	11.1975	32.02636719	8.856521739
8/4/2018	65	0.945885006	22.30271	21.1139575	22.2390475	11.57270833	25.26822917	7.575280899
8/5/2018	66	0.942502818	22.18638125	20.91805063	22.0746825	11.82041667	24.84791667	8.05
8/6/2018	67	0.940248027	22.12387625	20.87580188	21.98613375	11.11328125	21.10416667	110.3612903
8/7/2018	68	0.937993236	21.92015625	20.6648475	21.74768875	11.50822917	33.275	103.0510417
8/8/2018	69	0.935738444	21.79051625	20.54388875	21.64582875	11.25197917	33.21744792	131.8854167
8/9/2018	70	0.933483653	21.88138	20.65616625	21.8246625	10.84645833	37.4296875	125.9505263
8/10/2018	71	0.932356257	22.04806	20.80722	21.96992875	11.25541667	47.68854167	71.7
8/11/2018	72	0.930101466	22.20799395	21.25560656	22.04771637	12.20099609	33.51126302	94.83188406
8/12/2018	73	0.926719278	22.40046619	21.44382812	22.22088095	12.87361094	28.44463476	500.9487179
8/13/2018	74	0.924464487	22.4010975	21.34487875	22.189275	11.96875	58.778125	114.5583333
8/14/2018	75	0.922209696	22.38605	21.0838625	22.06137125	11.87239583	77	41.90833333
8/15/2018	76	0.919954904	22.26277625	20.91544625	21.81713875	11.59270833	73.00052083	36.28631579
8/16/2018	77	0.916572717	22.2344175	21.03235375	21.809615	11.2525	51.75625	70.37291667
8/17/2018	78	0.915445321	22.1603375	21.08241563	21.8292925	11.01817708	55.82128092	18.47578947
8/18/2018	79	0.91319053	22.189275	20.91891875	21.92854813	10.00635417	50.71536458	12.68210526
8/19/2018	80	0.909808343	21.9380975	20.70130875	21.82176875	10.28364583	50.83854167	10.11979167
8/20/2018	81	0.907553551	21.69010313	20.43508375	21.70341438	9.307604167	25.81770833	9.271578947
8/21/2018	82	0.90529876	21.27376484	19.85745508	21.22692227	8.981002604	46.64641927	9.402173913
8/22/2018	83	0.901916573	21.02309375	19.99783813	21.0908075	9.016875	22.45416667	9.858947368
8/23/2018	84	0.899661781	20.80287938	19.8164	20.8685675	9.006302083	32.81458333	11.07578947
8/24/2018	85	0.898534386	20.628965	19.70846313	20.6833675	8.678541667	28.72708333	18.85744681
8/25/2018	86	0.895152198	20.54794	19.6786575	20.70362375	8.610208333	22.6375	11.19166667
8/26/2018	87	0.892897407	20.4310325	19.499245	20.58208625	8.96375	38.640625	8.789583333
8/27/2018	88	0.88951522	20.35565031	19.50720281	20.45512297	9.094947917	27.71666667	114.9554348
8/28/2018	89	0.887260428	20.374315	19.4633625	20.40961875	9.0665625	31.15	93.96041667
8/29/2018	90	0.883878241	20.35290125	19.564065	20.4333475	9.725520833	24.91041667	67.52916667
8/30/2018	91	0.88162345	20.378945	19.74752875	20.53347125	8.516822917	17.65729167	62.13617021
8/31/2018	92	0.879368658	20.54244188	19.78717313	20.62230938	7.785989583	24.1671875	43.78105263
9/1/2018	93	0.877113867	20.7157775	19.87948375	20.6648475	8.058333333	20.85208333	12.00729167
9/2/2018	94	0.87373168	20.83557875	19.90350188	20.80750938	7.677864583	23.04947917	7.637894737
9/3/2018	95	0.871476888	20.6741075	19.6555075	20.63504188	7.993177083	35.54270833	8.305319149
9/4/2018	96	0.868094701	20.47183438	19.41069625	20.51871313	7.4365625	47.14479167	10.17473684
9/5/2018	97	0.86583991	20.23367875	19.1786175	20.38646875	7.741354167	46.01666667	19.4625
9/6/2018	98	0.863585118	20.054845	19.0466625	20.29155375	7.801458333	40.13125	31.32916667
9/7/2018	99	0.861330327	20.19663875	19.23620313	20.5259475	7.704270833	35.92135417	62.51684211
9/8/2018	100	0.85794814	20.41656375	19.47088625	20.6463275	8.303125	42.80520833	126.4541667
9/9/2018	101	0.855693348	20.60523625	19.61673125	20.77654625	8.614583333	44.184375	144.2458333
9/10/2018	102	0.852311161	20.73863813	19.74608188	20.89142813	8.743333333	45.36041667	9.298947368
9/11/2018	103	0.85005637	20.7944875	19.78919875	20.87609125	9.661041667	48.8125	9.967708333
9/12/2018	104	0.846674183	20.46286375	19.429795	20.52942	10.78604167	57.87604167	11.33020833
9/13/2018	105	0.845546787	20.29849875	19.33806313	20.37171063	10.08671875	41.86197917	15.02
9/14/2018	106	0.8421646	20.2574075	19.32735625	20.34132625	8.606666667	25.69322917	11.08854167
9/15/2018	107	0.839909808	20.10743891	19.21370422	20.21049258	9.081914063	33.34010417	10.17065217
9/16/2018	108	0.836527621	19.939095	18.93727875	20.06236875	8.589583333	22.61458333	8.178125
9/17/2018	109	0.833145434	19.943725	19.11727	20.05773875	7.670729167	18.84791667	7.377083333
9/18/2018	110	0.830890643	19.915945	18.97084625	19.94893375	7.173958333	23.8015625	246.978022
9/19/2018	111	0.828635851	19.89055234	18.98488094	19.81032313	7.421796875	23.16015625	108.5477273
9/20/2018	112	0.82638106	20.06179	19.28568625	19.89597813	7.97765625	12.8859375	104.3122222
9/21/2018	113	0.822998873	20.28692375	19.65840125	20.04153375	8.070755208	13.69713542	149.1810526
9/22/2018	114	0.820744081	20.19316625	19.31462375	19.92694125	8.5365625	36.7296875	99.33804348
9/23/2018	115	0.817361894	20.17754	19.46046875	19.869645	8.953333333	23.47083333	126.2536842
9/24/2018	116	0.815107103	20.16220313	19.915945	19.89033531	8.3296875	15.659375	95.31195652
9/25/2018	117	0.811724915	20.18940438	19.33343313	19.89192688	8.173072917	42.2	73.62
9/26/2018	118	0.809470124	20.21863125	19.32156875	19.96456	8.181875	36.8	29.021875
9/27/2018	119	0.807215333	20.2643525	19.21276375	20.0652625	8.711354167	52.26484375	13.903125
