day_of_year,Yolo Bypass,Sacramento River,East Delta,Lower Sacramento River,South Delta,Suisun Marsh,Confluence,Lower San Joaquin River,SW Suisun,SE Suisun,NE Suisun,NW Suisun
121,3.780901451653286,1.7844424876277876,1.353579541098393,2.623027391209426,2.044120909972875,3.3125499858433525,2.6806228522245865,1.6701225101205446,3.507436953206785,3.377319617215282,3.441295527102261,3.718246234896016
122,3.8013094353555865,1.7760972365504488,1.3557330911023935,2.62767798180968,2.0392359440890226,3.3190456718214993,2.6830099052364447,1.6741363918070495,3.514892020818055,3.3818700840226192,3.450206477818349,3.7192213735134607
123,3.761754483074541,1.767968496464892,1.345336674225348,2.630235205857368,2.040218950875506,3.3188198927958634,2.6834627349005773,1.6753096012100657,3.519525693345242,3.3813856901641013,3.449523744647023,3.725609243379731
124,3.7474522378559736,1.7576544982402487,1.32967849150188,2.6318329546673285,2.03758804918674,3.321213522105568,2.6902251947758447,1.674395526147843,3.5249834279759042,3.3849208813014946,3.4603074773586258,3.743773002340613
125,3.716441000429836,1.7463844436021017,1.3153435865126863,2.6390007168966667,2.0320518566316847,3.317826857142846,2.7012689153205196,1.6729405950033849,3.5309728491482235,3.387341944699993,3.460611390863916,3.757118511607107
126,3.697585562703882,1.7392944114141393,1.3350673955074486,2.639895834581561,2.030982471569243,3.3185048161059996,2.704074655892933,1.6823705718944417,3.538299514228698,3.3849941907605747,3.4572705670869177,3.763090147180818
127,3.6620304961335037,1.7337345252058523,1.317362962160971,2.646250251208923,2.036490769057181,3.3241451717044406,2.709172111181778,1.6859937497658022,3.5396975405602755,3.388404231584297,3.465827396570586,3.778287055533844
128,3.665830403484892,1.7415247334192803,1.3266829542068423,2.6500580386550086,2.0393998989088344,3.337831572756928,2.7272248752063044,1.689974310254799,3.546533396239423,3.391179625693296,3.471878063334835,3.789215196079123
129,3.6339636711677556,1.7295705228755798,1.3257143518723065,2.6530176431532033,2.035882641503556,3.3454519504736986,2.7447482931042515,1.6917980781886834,3.5516615127785824,3.3871028553137914,3.465742611750178,3.7915680856279192
130,3.6353595727736288,1.732510081553883,1.3100519477675874,2.6545636942324324,2.0349644029893414,3.3603756345702065,2.7579632249997568,1.6962425412512427,3.5584368276173755,3.3863317626963756,3.463657385820774,3.7909094270131107
131,3.634407685297524,1.732325227806527,1.310217198784825,2.65582658488545,2.035884410404777,3.373449566027303,2.7659255288543747,1.6956726829784936,3.564287506310928,3.386966863274442,3.4633435104555663,3.789163201152879
132,3.646078173136729,1.7304219568677286,1.3104909927977781,2.659461913643405,2.0313575355873574,3.386034351686795,2.777891549932029,1.6936617865080166,3.5672248966561666,3.3843123848277057,3.462984493971036,3.7914724576833185
133,3.644254944007981,1.7398361380043317,1.3097867807903365,2.659494943886696,2.0252924789373723,3.3910650583862685,2.78620717520233,1.6968130719166588,3.5758107722612973,3.3850074580268643,3.4621432306008826,3.79989357828854
134,3.646391008749998,1.7414049449433573,1.3075034000324746,2.6598864670887505,2.02256892717323,3.386023565186985,2.7916332475718355,1.699793569785992,3.5731108972731285,3.377661417153477,3.450021654406328,3.788573712055983
135,3.6464149436197077,1.7444428672595067,1.3184924838851133,2.6563749714946554,2.014633007060017,3.38632367928229,2.7998814723842385,1.7002627067368838,3.5716858469307398,3.373677525667328,3.4433874668568665,3.786458345018252
136,3.6383769727483286,1.7320922679858899,1.3180700164642032,2.658444644198826,2.012939312681888,3.370790410186514,2.802489621182067,1.704268930299738,3.57215082912858,3.37531447571405,3.445835310742921,3.7868066901816047
137,3.6460103086517206,1.7313356128479336,1.332525531626955,2.657312374445939,2.014557954620728,3.3593778028085404,2.812342251956808,1.713118570266768,3.5728114672720523,3.3798925431396967,3.4513054199222277,3.793273330369148
138,3.6655171209757365,1.7357449172816182,1.3289488324904601,2.655436028821136,2.018629566949235,3.3565671404255197,2.813858041961259,1.7122934339197744,3.57256525570057,3.377900061086609,3.4450328630786045,3.791783723012449
139,3.668129136706567,1.7380907708935414,1.3444052510489382,2.655170496247075,2.0191606090361063,3.347498209943317,2.8085660228593747,1.7143855682196465,3.568203963903915,3.3677467208530887,3.429257638490784,3.7818349552211297
140,3.6881632198688763,1.7425353508759993,1.342732831185054,2.64403431634109,2.017870318915613,3.331758760881998,2.8084761375424545,1.7099731181452473,3.5621548070001046,3.364953205530071,3.4282134742533485,3.790025710269581
141,3.706711609035775,1.747033247307229,1.3569781887783672,2.6448124282107375,2.016509984607636,3.3232008956953236,2.8052158330375647,1.7103718242850028,3.5596356702168,3.3639427115898415,3.428764914336227,3.790698636761259
142,3.676667752277628,1.7666596239714114,1.3655331078297555,2.6424192814599476,2.0208058086999836,3.30459648203011,2.7989084619105236,1.7128885238595135,3.5466200141516273,3.35316775960668,3.4166345553697153,3.780702005704239
143,3.6934938947350795,1.7739248141048307,1.3665223881514839,2.6346357956512367,2.011263015541052,3.2972626911912015,2.791200853564581,1.7036870663364283,3.5371046894250493,3.331506624326028,3.395442058743093,3.768437769112033
144,3.6787029154516295,1.7851681689794385,1.359874631798088,2.6311273710596663,2.0103023546899808,3.2961802606650257,2.7796712746877104,1.689263214233495,3.532925279425548,3.321402356095339,3.388519183938373,3.7603057941632896
145,3.665796397766794,1.789434571838133,1.3483101253632566,2.620477112081376,2.0057418310485504,3.2923119247426906,2.763464297501217,1.672394791288924,3.5221591828366434,3.3069713306976856,3.373236945267057,3.744097895051365
146,3.649017347594274,1.7992150465206875,1.345571402330688,2.6162280472540025,2.007615128548731,3.2906170932212904,2.753378429564748,1.6588824293274385,3.5189096369214483,3.2896216716388293,3.354039211747524,3.7273935759813743
