scenario,10800-3-m,10800-3-m,10800-3-m,10800-3-m,10800-3-m,10800-60d,10800-60d,10800-60d,10800-60d,10800-60d,10800-b,10800-b,10800-b,10800-b,10800-b,15000-3-m,15000-3-m,15000-3-m,15000-3-m,15000-3-m,15000-60d,15000-60d,15000-60d,15000-60d,15000-60d,15000-b,15000-b,15000-b,15000-b,15000-b,21000,21000,21000,21000,21000,Noaction,Noaction,Noaction,Noaction,Noaction,fallx2,fallx2,fallx2,fallx2,fallx2
region,Cache Montezuma Link,Delta,North Delta Arc,Suisun Bay,Suisun Marsh,Cache Montezuma Link,Delta,North Delta Arc,Suisun Bay,Suisun Marsh,Cache Montezuma Link,Delta,North Delta Arc,Suisun Bay,Suisun Marsh,Cache Montezuma Link,Delta,North Delta Arc,Suisun Bay,Suisun Marsh,Cache Montezuma Link,Delta,North Delta Arc,Suisun Bay,Suisun Marsh,Cache Montezuma Link,Delta,North Delta Arc,Suisun Bay,Suisun Marsh,Cache Montezuma Link,Delta,North Delta Arc,Suisun Bay,Suisun Marsh,Cache Montezuma Link,Delta,North Delta Arc,Suisun Bay,Suisun Marsh,Cache Montezuma Link,Delta,North Delta Arc,Suisun Bay,Suisun Marsh
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-02,7551.55,58694.99,32580.19,24411.85,5629.69,7551.55,58688.17,32580.93,24411.85,5634.98,7551.55,58690.24,32577.91,24411.85,5627.82,7549.41,58677.88,32570.69,24392.65,5629.35,7549.69,58639.96,32534.47,24393.54,5631.82,7549.69,58676.28,32578.02,24395.23,5640.39,7549.69,58660.08,32564.50,24358.53,5630.48,7551.55,58698.45,32585.33,24425.04,5634.02,7551.55,58701.20,32581.95,24423.95,5630.71
2024-05-03,7660.65,59861.48,34185.17,23967.51,6225.19,7661.52,59885.04,34213.20,23967.51,6228.81,7660.65,59887.77,34206.22,23967.51,6214.71,7660.65,59891.64,34224.03,23933.11,6227.98,7659.88,59872.29,34211.04,23935.72,6234.61,7659.58,59889.42,34232.18,23935.72,6234.39,7659.14,59835.76,34176.10,23882.72,6226.03,7661.52,59941.92,34266.62,23977.65,6233.35,7661.52,59921.96,34247.21,23977.31,6230.37
2024-05-04,7676.45,60242.35,34695.52,25228.42,6432.97,7676.93,60270.94,34735.72,25227.06,6440.55,7676.45,60309.90,34769.27,25227.06,6434.08,7676.45,60250.89,34717.60,25188.52,6432.66,7676.45,60236.37,34693.99,25191.74,6420.16,7676.45,60274.96,34740.24,25191.74,6429.65,7676.45,60239.83,34704.40,25136.48,6413.40,7676.48,60289.16,34743.83,25247.15,6434.15,7676.48,60297.97,34756.97,25245.09,6440.44
2024-05-05,7681.98,60182.42,34931.34,25371.97,6701.57,7681.98,60192.53,34942.43,25368.52,6699.57,7681.98,60202.08,34960.42,25368.52,6706.29,7681.98,60175.10,34929.48,25339.34,6696.44,7681.98,60150.33,34909.44,25337.69,6700.15,7681.98,60188.06,34938.04,25337.69,6689.49,7679.12,60153.77,34912.60,25290.65,6689.62,7682.13,60221.62,34974.22,25381.33,6708.10,7682.13,60217.50,34973.71,25381.33,6714.87
2024-05-06,7698.92,60765.36,35883.73,25380.90,7143.81,7698.87,60793.75,35910.55,25374.21,7140.74,7698.87,60800.59,35920.18,25374.21,7141.54,7698.87,60781.52,35908.96,25348.07,7145.21,7696.79,60747.53,35873.01,25346.18,7142.01,7696.79,60783.46,35909.80,25346.18,7142.75,7695.60,60755.80,35888.56,25302.27,7130.15,7698.87,60805.72,35917.87,25399.95,7141.00,7698.87,60806.10,35916.88,25399.95,7140.85
2024-05-07,7695.47,60315.92,35542.23,25329.88,7240.48,7695.47,60358.10,35585.51,25328.90,7239.61,7695.47,60366.21,35593.92,25328.90,7240.13,7695.47,60339.00,35577.12,25285.06,7241.34,7695.47,60306.15,35536.74,25283.71,7230.84,7695.47,60338.92,35570.72,25283.71,7231.95,7695.45,60317.85,35563.53,25208.69,7234.09,7695.47,60370.81,35601.45,25344.14,7247.22,7695.47,60375.83,35602.81,25344.87,7245.01
2024-05-08,7699.00,60638.66,35988.20,24440.61,7388.87,7699.13,60638.89,35992.43,24436.08,7388.53,7699.00,60667.48,36020.14,24436.08,7387.50,7699.00,60646.91,36012.00,24400.32,7388.02,7699.00,60608.71,35969.97,24398.06,7383.19,7699.00,60649.44,36017.44,24398.06,7389.68,7698.92,60612.05,35981.72,24336.51,7381.94,7699.00,60688.13,36040.69,24464.96,7393.72,7699.00,60678.38,36026.01,24469.96,7391.60
2024-05-09,7704.83,61637.07,37466.26,24086.16,7965.44,7704.83,61590.72,37421.41,24081.74,7963.60,7704.83,61574.54,37406.14,24081.74,7964.74,7704.83,61600.34,37439.59,24014.78,7962.13,7704.83,61558.97,37399.93,24014.78,7961.13,7704.83,61555.03,37396.96,24014.78,7961.02,7704.83,61535.76,37383.58,23898.15,7957.60,7704.83,61618.26,37446.52,24112.95,7965.90,7704.83,61603.70,37430.21,24111.78,7964.94
2024-05-10,7703.99,61640.31,37499.50,24482.80,7982.85,7703.99,61626.40,37489.38,24482.80,7983.53,7703.99,61620.60,37483.24,24481.14,7983.23,7704.13,61598.14,37470.60,24410.71,7982.95,7704.13,61601.48,37473.70,24417.98,7980.67,7704.13,61600.39,37475.60,24416.28,7983.95,7703.99,61581.77,37456.49,24299.07,7972.86,7703.99,61634.19,37501.91,24515.04,7993.78,7703.99,61637.25,37505.50,24510.76,7995.41
2024-05-11,7695.78,61417.73,36871.41,25021.15,7554.69,7695.78,61408.76,36859.70,25021.15,7549.10,7695.78,61408.60,36854.75,25021.15,7544.26,7695.78,61394.94,36852.82,24957.31,7547.13,7695.78,61377.73,36841.07,24964.83,7549.12,7695.78,61385.68,36846.14,24961.72,7546.12,7695.78,61360.96,36818.88,24844.72,7535.10,7695.78,61422.96,36873.02,25049.64,7553.27,7695.78,61428.02,36879.43,25046.97,7556.10
