scenario,10800-3-m,10800-3-m,10800-3-m,10800-3-m,10800-3-m,10800-60d,10800-60d,10800-60d,10800-60d,10800-60d,10800-b,10800-b,10800-b,10800-b,10800-b,15000-3-m,15000-3-m,15000-3-m,15000-3-m,15000-3-m,15000-60d,15000-60d,15000-60d,15000-60d,15000-60d,15000-b,15000-b,15000-b,15000-b,15000-b,21000,21000,21000,21000,21000,Noaction,Noaction,Noaction,Noaction,Noaction,fallx2,fallx2,fallx2,fallx2,fallx2
region,Cache Montezuma Link,Delta,North Delta Arc,Suisun Bay,Suisun Marsh,Cache Montezuma Link,Delta,North Delta Arc,Suisun Bay,Suisun Marsh,Cache Montezuma Link,Delta,North Delta Arc,Suisun Bay,Suisun Marsh,Cache Montezuma Link,Delta,North Delta Arc,Suisun Bay,Suisun Marsh,Cache Montezuma Link,Delta,North Delta Arc,Suisun Bay,Suisun Marsh,Cache Montezuma Link,Delta,North Delta Arc,Suisun Bay,Suisun Marsh,Cache Montezuma Link,Delta,North Delta Arc,Suisun Bay,Suisun Marsh,Cache Montezuma Link,Delta,North Delta Arc,Suisun Bay,Suisun Marsh,Cache Montezuma Link,Delta,North Delta Arc,Suisun Bay,Suisun Marsh
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-01,7682.46,59954.37,35160.35,24552.60,6970.04,7683.16,60002.09,35199.91,24576.73,6970.62,7683.16,59984.96,35178.76,24578.01,6966.87,7683.31,60065.68,35278.51,24751.41,7003.04,7683.31,60071.85,35263.28,24756.49,6992.68,7683.31,60089.39,35279.46,24758.63,6992.22,7687.24,60241.58,35437.52,24993.00,7032.46,7681.84,59949.18,35144.84,24436.42,6955.70,7681.84,59934.85,35137.07,24415.77,6956.85
2024-06-02,7694.14,60277.30,35706.86,24237.35,7231.82,7694.14,60316.64,35740.74,24272.61,7229.71,7694.14,60295.04,35733.07,24278.09,7244.90,7694.17,60375.32,35802.76,24574.64,7257.33,7694.17,60385.22,35802.94,24582.11,7256.27,7694.17,60405.70,35826.97,24585.21,7261.25,7696.08,60547.63,35972.51,24933.59,7307.78,7694.27,60270.67,35715.92,24086.57,7234.98,7694.11,60253.00,35698.22,24086.57,7227.05
2024-06-03,7694.44,60597.10,36195.00,24607.59,7431.17,7694.57,60643.56,36233.79,24632.98,7429.49,7694.57,60625.18,36223.34,24636.72,7438.64,7696.70,60723.03,36307.94,24921.18,7451.82,7696.70,60736.48,36310.60,24922.84,7454.72,7696.70,60751.42,36323.84,24932.92,7453.58,7700.23,60957.86,36525.47,25378.82,7493.81,7694.05,60566.78,36167.91,24468.88,7420.85,7694.05,60550.49,36152.28,24468.55,7413.38
2024-06-04,7692.28,60307.24,35795.42,24206.91,7279.92,7693.28,60357.81,35838.43,24249.29,7286.46,7693.28,60340.64,35813.55,24257.19,7279.12,7692.28,60417.91,35884.18,24569.58,7302.48,7692.35,60431.87,35899.40,24571.03,7312.34,7692.35,60449.39,35913.73,24571.81,7309.36,7694.99,60694.90,36145.59,25119.29,7355.07,7693.24,60288.38,35781.92,24022.73,7277.29,7693.37,60278.67,35773.00,24022.73,7271.22
2024-06-05,7704.83,61241.56,37448.49,22929.35,8104.35,7704.83,61266.60,37462.99,23019.45,8105.82,7704.83,61271.00,37464.52,23028.48,8103.18,7704.83,61359.04,37547.84,23677.71,8125.81,7705.50,61415.30,37592.92,23677.53,8125.70,7705.50,61380.62,37561.65,23681.51,8129.13,7708.32,61649.43,37800.63,24393.99,8153.99,7704.83,61186.91,37396.43,22542.58,8095.74,7704.83,61173.75,37383.48,22541.74,8088.82
2024-06-06,7711.43,61857.80,38495.98,22015.00,8583.90,7711.43,61883.92,38518.63,22113.24,8591.17,7711.43,61896.23,38527.87,22119.59,8588.35,7711.73,61949.73,38578.11,23102.71,8615.74,7711.73,61994.37,38620.24,23085.76,8618.27,7711.73,61982.91,38606.55,23092.75,8616.04,7711.91,62225.88,38823.32,24239.84,8662.04,7710.60,61823.92,38458.40,21502.69,8568.22,7710.55,61828.71,38471.56,21533.68,8568.38
2024-06-07,7711.91,62118.99,38965.18,22265.43,8810.72,7711.91,62181.40,39021.12,22346.56,8814.61,7711.91,62182.90,39022.72,22358.44,8814.61,7711.91,62289.89,39123.27,23534.33,8842.72,7711.91,62290.17,39119.90,23496.47,8842.11,7711.91,62308.64,39137.17,23504.31,8841.95,7716.37,62517.66,39279.04,24667.94,8857.43,7711.91,62056.55,38912.26,21624.30,8805.47,7711.73,62052.66,38908.81,21671.72,8802.58
2024-06-08,7708.82,61840.38,38492.21,23171.42,8583.54,7708.70,61881.97,38520.73,23252.38,8578.14,7708.70,61885.43,38527.78,23267.69,8582.47,7709.76,61954.44,38592.00,24330.53,8613.02,7709.76,61973.99,38606.55,24278.13,8613.70,7709.76,61974.37,38612.21,24289.38,8619.24,7710.36,62137.19,38733.50,25332.30,8653.53,7707.01,61762.52,38409.13,22441.82,8565.32,7707.21,61741.76,38392.88,22507.03,8563.81
2024-06-09,7685.73,60615.37,36031.20,23931.13,7224.57,7685.73,60667.53,36084.51,24007.74,7225.98,7685.73,60669.57,36089.37,24018.01,7231.53,7687.58,60754.04,36189.65,24811.28,7281.00,7687.58,60777.95,36223.76,24763.84,7300.54,7687.58,60778.32,36213.67,24785.30,7290.64,7691.41,61032.20,36472.28,25641.17,7363.70,7685.20,60534.11,35926.93,23357.43,7190.88,7685.20,60514.61,35916.47,23390.00,7192.22
2024-06-10,7628.84,60072.50,34570.89,23627.49,6225.59,7630.76,60106.27,34605.59,23695.36,6231.42,7629.77,60105.78,34600.19,23712.14,6226.78,7636.54,60191.01,34676.78,24590.62,6254.36,7637.63,60216.58,34703.82,24568.48,6262.34,7637.53,60220.26,34711.34,24575.47,6266.19,7650.39,60425.03,34872.67,25397.98,6296.23,7621.43,59980.55,34480.08,23062.13,6210.34,7621.24,59953.28,34453.62,23066.13,6205.55
2024-06-11,7563.91,59505.67,33697.82,22916.25,5859.93,7563.82,59553.86,33748.87,23020.68,5868.50,7563.82,59556.10,33747.43,23022.68,5865.57,7567.50,59706.70,33877.04,23922.79,5879.70,7569.66,59733.51,33894.06,23911.79,5879.40,7569.66,59734.47,33895.65,23917.86,5879.68,7575.32,59998.95,34119.44,24895.79,5891.89,7562.74,59418.21,33624.32,22180.14,5849.80,7559.93,59391.16,33606.30,22183.57,5854.95
2024-06-12,7562.87,59440.00,33592.41,22411.85,5815.30,7563.82,59481.67,33628.89,22531.28,5815.55,7563.82,59486.41,33632.88,22541.48,5815.34,7565.30,59621.96,33746.72,23607.54,5829.74,7565.30,59652.84,33770.07,23594.21,5832.27,7565.30,59653.17,33771.09,23607.54,5832.90,7573.73,59956.27,34019.30,24825.42,5847.34,7557.51,59345.85,33500.45,21599.32,5800.36,7557.06,59319.83,33491.48,21615.51,5805.39
2024-06-13,7550.71,59233.99,33307.44,23563.74,5746.26,7550.71,59265.62,33330.84,23652.26,5746.23,7550.79,59266.28,33330.55,23660.36,5746.85,7551.83,59360.38,33401.92,24641.28,5758.48,7553.69,59398.46,33428.87,24641.28,5760.86,7553.69,59396.15,33427.08,24644.05,5761.87,7555.82,59615.54,33571.41,25443.62,5769.67,7547.13,59151.34,33240.69,22952.72,5742.29,7547.13,59114.50,33217.56,22960.38,5746.01
2024-06-14,7538.71,59001.36,33096.47,24252.40,5714.69,7539.50,59064.22,33145.31,24353.61,5711.28,7539.50,59062.72,33140.53,24360.25,5709.21,7544.34,59164.96,33204.68,24976.17,5713.88,7543.37,59181.40,33215.51,24978.39,5719.34,7543.37,59185.80,33225.07,24987.08,5724.70,7547.71,59397.32,33363.60,25479.80,5732.77,7538.71,58935.35,33041.26,23606.41,5705.20,7538.99,58902.22,33027.22,23594.11,5707.40
2024-06-15,7563.22,58928.44,33197.20,23457.23,5777.52,7567.00,58971.90,33227.02,23576.18,5780.04,7567.00,58976.04,33228.56,23587.82,5778.19,7569.20,59054.83,33283.89,24523.21,5788.87,7569.20,59077.83,33304.39,24532.48,5794.15,7569.20,59077.83,33305.72,24545.84,5796.55,7572.88,59280.80,33429.71,25212.60,5803.42,7560.10,58854.76,33131.21,22822.18,5771.65,7560.91,58836.86,33128.99,22797.86,5770.96
2024-06-16,7577.85,59534.84,33797.38,23092.72,5886.56,7578.21,59566.44,33829.12,23229.42,5898.34,7578.60,59566.02,33823.78,23233.28,5888.86,7582.36,59694.18,33924.31,24289.34,5902.04,7582.36,59728.71,33953.55,24305.53,5908.32,7582.57,59730.24,33956.89,24308.17,5910.20,7589.18,60014.82,34178.82,25089.74,5935.08,7574.59,59448.31,33727.53,22238.64,5883.56,7574.52,59403.14,33693.39,22200.61,5881.49
2024-06-17,7679.62,59483.89,34782.42,21998.23,6926.11,7680.15,59530.06,34816.15,22169.60,6923.39,7680.15,59526.44,34805.99,22176.77,6917.27,7680.15,59624.65,34891.90,23441.00,6939.67,7680.15,59645.24,34909.17,23447.19,6943.16,7680.15,59650.70,34922.02,23452.69,6950.85,7682.14,59933.94,35160.38,24681.25,6987.85,7679.58,59391.11,34690.55,21190.05,6910.15,7676.85,59348.98,34650.51,21138.10,6898.92
2024-06-18,7689.61,60504.60,35919.59,20739.98,7167.45,7690.76,60538.31,35943.44,20965.38,7163.69,7690.76,60539.76,35947.51,20985.79,7167.77,7693.29,60642.72,36054.10,22417.43,7210.22,7693.46,60698.65,36104.40,22422.21,7223.36,7693.33,60705.40,36113.71,22434.88,7225.97,7697.39,60950.60,36348.73,24050.38,7295.12,7689.54,60429.53,35815.24,19615.55,7123.66,7689.54,60401.11,35785.64,19546.12,7112.48
2024-06-19,7698.20,61031.90,36848.62,20336.73,7638.64,7698.97,61088.42,36899.64,20583.28,7645.51,7700.04,61087.03,36901.29,20609.68,7650.15,7702.22,61230.30,37049.65,22373.09,7703.20,7702.22,61273.06,37095.36,22384.54,7715.95,7702.22,61272.85,37088.46,22395.91,7710.80,7702.33,61554.51,37352.15,24258.65,7783.87,7697.48,60953.19,36730.53,19045.40,7587.67,7697.48,60928.52,36722.08,19000.18,7593.70
2024-06-20,7704.74,61587.12,37870.71,20000.93,8164.43,7704.88,61631.57,37906.76,20269.01,8170.11,7704.88,61621.61,37892.97,20304.25,8167.68,7705.01,61752.22,38043.79,22369.57,8226.78,7705.01,61780.47,38069.61,22378.43,8233.98,7705.35,61779.32,38067.55,22398.32,8234.03,7705.11,61991.63,38263.46,24475.44,8299.28,7704.74,61500.75,37763.58,18526.54,8130.22,7704.95,61463.70,37734.86,18471.00,8124.76
2024-06-21,7709.56,61853.86,38467.42,19941.02,8517.41,7709.56,61877.85,38493.44,20241.24,8528.98,7709.56,61877.81,38485.75,20253.75,8522.84,7710.40,61984.42,38613.96,22650.06,8580.96,7710.50,62006.23,38627.93,22652.00,8583.28,7710.70,62003.97,38621.59,22671.26,8580.28,7710.67,62214.47,38817.43,24785.45,8656.98,7708.70,61790.83,38374.96,18239.93,8475.61,7708.91,61778.63,38370.19,18171.96,8472.26
2024-06-22,7710.00,61874.20,38539.18,20005.22,8571.75,7710.00,61890.83,38558.42,20334.96,8580.24,7710.00,61892.95,38547.06,20355.00,8568.12,7710.40,61990.70,38659.10,22959.90,8623.51,7710.40,62014.78,38690.61,22951.01,8633.43,7710.60,62012.11,38684.43,22957.97,8630.54,7710.67,62221.00,38857.35,25056.13,8692.54,7709.56,61806.05,38436.33,18099.22,8516.81,7709.76,61772.66,38412.16,18033.32,8523.51
2024-06-23,7705.01,61723.34,38236.58,20318.34,8410.20,7707.01,61744.41,38265.30,20616.26,8421.55,7707.01,61750.97,38273.78,20623.54,8424.43,7709.56,61874.18,38434.85,23392.49,8501.18,7709.56,61881.96,38446.01,23376.23,8506.53,7709.76,61888.72,38459.85,23388.80,8514.49,7710.16,62105.40,38646.71,25360.55,8587.58,7705.01,61644.15,38148.63,18265.28,8380.30,7705.01,61616.64,38110.73,18259.88,8369.07
2024-06-24,7702.65,61241.28,37353.46,20777.98,7950.81,7702.65,61260.41,37365.45,21026.30,7951.91,7702.65,61263.33,37367.73,21029.57,7952.64,7703.96,61394.83,37551.45,23686.48,8051.84,7703.96,61404.70,37554.72,23648.17,8048.55,7703.96,61406.78,37554.89,23649.95,8047.39,7704.74,61744.80,37877.25,25460.86,8131.49,7702.53,61130.36,37231.99,18589.76,7908.76,7702.53,61095.53,37194.63,18655.01,7904.19
2024-06-25,7684.12,60440.79,35537.14,21430.10,6821.67,7684.12,60461.22,35573.80,21626.96,6854.80,7684.12,60461.55,35571.06,21626.96,6852.79,7684.78,60573.59,35734.65,24049.19,6949.30,7684.82,60592.22,35724.06,23994.99,6933.68,7684.82,60590.13,35726.23,23996.68,6938.21,7687.71,60913.62,36046.98,25556.49,7033.79,7680.63,60376.73,35419.84,19261.21,6782.07,7681.68,60349.27,35402.10,19347.32,6785.59
2024-06-26,7556.91,59246.03,33444.53,22003.70,5817.80,7556.44,59269.77,33453.03,22223.20,5816.91,7556.44,59269.12,33452.96,22232.31,5816.44,7557.31,59358.76,33524.67,24125.92,5835.93,7558.12,59381.68,33521.73,24103.37,5826.96,7558.12,59384.09,33528.30,24100.97,5830.86,7568.44,59631.03,33697.74,25387.21,5847.39,7554.59,59197.77,33402.57,20195.33,5809.50,7556.26,59163.61,33379.64,20265.12,5809.82
2024-06-27,7583.45,59263.96,33805.33,21497.07,6016.50,7585.55,59291.52,33823.24,21704.37,6018.33,7583.55,59289.19,33820.10,21701.31,6020.51,7604.60,59481.59,34020.06,23670.45,6084.20,7604.49,59493.90,34021.44,23670.45,6083.54,7604.24,59487.47,34020.74,23658.19,6085.63,7621.04,59818.82,34309.07,25025.09,6151.64,7574.38,59176.69,33698.08,19790.91,5974.43,7575.16,59140.62,33670.68,19802.90,5974.70
2024-06-28,7678.55,59891.57,35111.15,20630.08,6785.65,7680.63,59916.39,35117.74,20877.74,6783.29,7680.63,59917.29,35128.40,20871.37,6793.75,7681.82,60093.15,35358.67,23212.43,6886.51,7681.68,60100.37,35361.10,23218.28,6887.42,7681.68,60096.26,35359.94,23205.11,6890.50,7684.89,60424.38,35650.81,24884.04,6994.92,7675.55,59769.28,34937.07,18919.82,6702.51,7675.55,59727.59,34891.18,18904.89,6699.78
2024-06-29,7684.72,59973.52,35390.69,20736.27,6974.84,7684.72,60000.72,35405.88,21015.35,6972.26,7684.72,59998.20,35411.27,20998.87,6979.77,7685.59,60182.21,35592.97,23358.08,7044.13,7685.59,60191.79,35603.56,23375.89,7051.90,7685.59,60192.08,35601.45,23358.08,7046.98,7689.02,60484.14,35875.03,25059.69,7132.92,7681.68,59861.79,35256.45,18844.81,6914.56,7681.68,59823.92,35224.53,18824.53,6915.94
2024-06-30,7696.44,60342.19,36090.70,20574.78,7456.07,7696.44,60360.68,36110.28,20858.02,7466.73,7696.44,60359.48,36105.51,20843.25,7463.01,7699.01,60509.66,36260.10,23292.24,7519.53,7699.17,60527.35,36267.94,23333.05,7518.21,7699.01,60524.34,36268.05,23311.73,7520.09,7701.20,60858.99,36561.69,25024.36,7579.73,7694.26,60244.05,35965.76,18441.07,7391.49,7694.26,60208.68,35928.91,18398.01,7388.01
2024-07-01,7704.80,60858.85,36896.22,19744.89,7812.84,7704.80,60858.41,36889.08,20066.71,7815.59,7704.73,60853.79,36886.67,20016.41,7814.72,7704.96,60996.76,37009.50,22657.53,7850.57,7704.96,61015.79,37021.67,22749.10,7854.10,7705.16,61002.43,37013.41,22690.15,7853.62,7705.01,61277.86,37218.18,24662.33,7897.40,7704.29,60673.38,36711.43,17404.04,7793.23,7704.29,60649.82,36692.57,17369.80,7792.27
2024-07-02,7710.25,61566.71,37921.01,18625.83,8218.14,7710.25,61573.60,37922.44,18973.42,8216.59,7710.25,61554.72,37911.31,18909.66,8221.15,7710.25,61720.99,38054.77,21878.23,8253.60,7710.25,61742.73,38072.20,21968.65,8259.10,7710.46,61730.30,38063.36,21910.25,8257.49,7711.17,61936.56,38180.83,24321.07,8289.15,7709.81,61388.95,37736.52,16039.99,8192.46,7709.81,61359.39,37711.15,15991.15,8190.19
2024-07-03,7710.33,62081.91,38779.18,18200.73,8629.05,7710.33,62085.24,38787.12,18610.98,8636.24,7710.33,62078.20,38779.97,18518.13,8631.86,7711.56,62167.84,38884.17,21851.02,8701.09,7711.56,62188.34,38893.63,21996.82,8699.52,7711.56,62184.18,38890.29,21907.48,8692.87,7714.96,62443.88,39069.83,24486.81,8761.62,7710.16,61957.71,38636.71,15380.50,8580.45,7710.16,61936.86,38621.81,15306.27,8582.97
2024-07-04,7709.61,61939.21,38409.92,18839.31,8377.95,7709.61,61939.48,38418.01,19230.44,8390.54,7709.61,61925.76,38403.72,19125.05,8386.72,7710.36,62035.92,38540.08,22498.01,8471.34,7710.36,62052.80,38563.36,22667.49,8486.53,7710.36,62036.97,38543.69,22561.91,8476.35,7710.88,62279.71,38728.74,24892.13,8571.60,7708.70,61821.65,38276.96,15846.50,8325.59,7708.70,61815.21,38280.42,15761.76,8330.13
2024-07-05,7708.70,61853.73,38262.30,19103.42,8301.12,7709.56,61850.96,38278.88,19505.30,8314.11,7708.70,61843.89,38281.71,19398.03,8317.64,7710.26,61944.79,38394.51,22730.57,8397.26,7710.26,61967.19,38409.44,22954.92,8399.39,7710.26,61946.30,38391.61,22822.42,8393.91,7710.16,62198.77,38572.82,24973.96,8484.08,7707.01,61696.88,38113.67,15959.57,8263.53,7707.01,61689.20,38111.56,15909.66,8262.27
2024-07-06,7704.74,61614.60,37779.13,19446.96,8007.46,7704.74,61622.55,37786.39,19883.10,8015.39,7704.74,61609.88,37776.34,19719.51,8010.69,7705.21,61741.74,37935.80,23023.48,8097.66,7705.01,61758.29,37948.26,23252.65,8103.93,7705.01,61741.00,37937.03,23129.35,8098.85,7705.11,62018.52,38100.16,25227.23,8158.85,7704.17,61417.81,37566.54,16311.26,7950.87,7704.17,61398.70,37558.19,16214.36,7955.69
2024-07-07,7701.65,61298.55,37184.83,19788.21,7700.11,7701.65,61296.93,37185.87,20210.50,7705.46,7701.65,61287.25,37182.76,20026.29,7707.74,7702.75,61415.65,37341.56,23297.21,7801.74,7702.64,61440.27,37362.93,23498.16,7807.86,7702.64,61415.16,37351.46,23378.26,7809.43,7703.22,61708.67,37542.57,25338.78,7882.04,7701.78,61115.59,36993.26,16749.90,7650.70,7701.78,61105.96,36989.96,16627.42,7651.41
2024-07-08,7691.78,60871.34,36273.91,20244.23,7166.34,7691.98,60869.76,36283.40,20670.91,7181.81,7692.00,60859.13,36265.67,20510.61,7171.69,7692.48,61016.72,36473.29,23560.64,7283.26,7692.48,61039.29,36513.35,23747.84,7310.35,7692.48,61011.36,36483.48,23630.64,7294.76,7693.35,61304.06,36711.04,25404.03,7397.42,7688.24,60727.17,36104.06,17342.12,7084.95,7688.24,60720.68,36101.17,17205.40,7084.01
2024-07-09,7600.79,59920.39,34331.93,21148.76,6034.80,7600.81,59931.40,34338.41,21456.14,6044.47,7597.69,59919.21,34331.05,21327.49,6046.71,7611.44,60042.02,34428.80,23758.76,6095.70,7612.50,60068.70,34457.15,23915.10,6108.31,7612.34,60045.84,34433.60,23823.31,6093.86,7616.79,60275.85,34530.86,25205.99,6127.89,7591.12,59781.03,34204.43,18601.38,5997.57,7590.28,59778.75,34209.50,18472.98,6002.41
2024-07-10,7554.28,59093.09,33310.74,21040.41,5760.09,7553.31,59099.68,33311.85,21304.95,5763.91,7554.28,59097.59,33316.65,21171.49,5765.76,7555.45,59211.41,33347.29,23379.85,5759.58,7555.45,59231.86,33363.29,23531.16,5769.53,7555.45,59215.28,33355.36,23439.79,5767.63,7555.72,59430.42,33441.48,24764.01,5776.75,7548.11,58938.50,33186.92,18910.46,5743.27,7545.75,58928.62,33178.43,18795.04,5740.42
2024-07-11,7569.67,59471.21,33743.36,20339.27,5809.59,7569.63,59479.89,33758.92,20637.54,5813.09,7569.63,59470.70,33753.36,20502.75,5812.57,7571.72,59668.69,33842.14,22799.71,5819.99,7571.58,59693.63,33856.06,23003.02,5827.42,7571.50,59677.60,33845.09,22879.67,5819.18,7575.60,59931.25,34007.05,24552.78,5838.90,7564.04,59288.46,33589.34,18220.63,5795.65,7564.04,59288.54,33593.37,18084.31,5793.29
2024-07-12,7605.22,60186.88,34627.60,19743.20,6021.00,7605.22,60200.05,34634.02,20051.58,6033.13,7605.22,60194.42,34619.93,19899.75,6021.91,7619.68,60363.02,34715.26,22389.57,6069.83,7619.84,60374.51,34726.66,22604.31,6082.65,7619.44,60357.28,34709.69,22461.73,6067.77,7625.95,60586.29,34837.37,24383.64,6109.55,7599.17,60042.90,34478.91,17274.16,5975.07,7598.99,60040.85,34479.13,17113.69,5975.34
2024-07-13,7630.79,60437.35,34867.48,20444.98,6095.31,7630.68,60443.36,34863.73,20731.40,6100.22,7630.54,60423.94,34852.18,20587.71,6099.99,7632.46,60562.40,34914.01,23061.11,6116.55,7633.40,60574.95,34921.94,23248.34,6120.97,7632.37,60558.42,34915.90,23112.43,6119.68,7644.06,60811.64,35072.01,24787.58,6156.84,7623.57,60290.58,34733.17,17875.49,6069.45,7623.54,60283.19,34731.57,17718.46,6069.47
2024-07-14,7684.17,60865.96,35545.95,20341.88,6452.92,7684.11,60867.85,35538.99,20616.35,6451.58,7684.31,60866.55,35537.42,20442.54,6443.70,7684.65,60969.82,35609.63,23005.78,6490.35,7684.65,60984.74,35625.23,23231.37,6494.68,7684.65,60953.59,35596.22,23064.68,6485.70,7685.86,61200.56,35777.50,24740.81,6550.41,7682.04,60702.51,35362.30,17703.51,6392.72,7681.85,60692.15,35360.49,17527.99,6397.56
2024-07-15,7690.24,61063.02,36203.04,20301.90,6999.05,7690.21,61054.89,36203.66,20586.66,7010.95,7690.21,61048.19,36178.16,20405.18,6989.51,7690.78,61148.29,36316.30,22970.55,7073.55,7690.78,61156.43,36334.73,23200.24,7085.53,7690.78,61137.95,36329.96,23014.96,7091.61,7692.92,61389.58,36529.81,24772.01,7170.95,7689.74,60890.39,35999.30,17632.19,6922.11,7689.72,60880.90,35993.25,17461.76,6921.23
2024-07-16,7695.18,61290.30,36872.00,20967.72,7480.86,7695.18,61275.19,36858.14,21194.43,7476.36,7694.77,61265.62,36839.66,21028.56,7467.39,7695.18,61372.24,36949.65,23351.22,7528.95,7695.18,61393.13,36984.16,23524.87,7546.43,7695.18,61365.29,36966.43,23378.16,7545.05,7696.52,61628.81,37175.13,24949.95,7629.88,7692.58,61100.36,36676.57,18485.04,7426.95,7692.58,61099.69,36667.57,18346.56,7415.94
2024-07-17,7704.17,61388.74,37265.42,20978.50,7763.26,7704.17,61372.29,37255.41,21197.11,7768.23,7704.17,61367.75,37247.99,21036.88,7763.10,7704.17,61465.96,37318.65,23292.18,7803.75,7704.37,61474.03,37330.58,23458.98,7808.85,7704.17,61455.01,37315.94,23293.54,7802.06,7704.74,61724.41,37499.86,24927.13,7854.20,7703.12,61215.40,37092.52,18575.56,7715.36,7703.12,61211.55,37093.63,18445.91,7717.97
2024-07-18,7704.41,61698.05,37869.32,20969.53,8080.54,7704.41,61681.94,37865.22,21194.93,8085.82,7704.41,61665.37,37844.89,21027.29,8078.93,7704.74,61779.72,37958.40,23458.18,8143.29,7704.99,61771.93,37957.53,23606.16,8148.00,7704.86,61762.51,37949.09,23441.89,8138.43,7704.84,62011.89,38131.15,25123.58,8212.58,7703.57,61513.37,37666.17,18559.14,8014.70,7703.57,61507.85,37666.40,18420.37,8018.83
2024-07-19,7705.11,61855.83,38223.48,20607.84,8287.69,7705.11,61840.35,38221.02,20859.09,8287.07,7705.11,61834.72,38207.91,20682.34,8279.36,7705.11,61931.45,38302.74,23373.13,8343.19,7705.22,61929.06,38316.25,23547.20,8351.92,7705.31,61905.78,38304.62,23332.69,8351.24,7708.86,62146.99,38467.62,25078.42,8424.12,7705.01,61691.85,38068.43,18021.94,8244.76,7705.01,61691.16,38066.58,17896.73,8242.58
2024-07-20,7710.67,62093.10,38677.65,20749.30,8540.34,7710.50,62083.03,38682.28,20991.39,8548.53,7710.50,62083.48,38675.91,20798.73,8542.97,7710.67,62161.87,38792.94,23694.62,8628.96,7710.67,62159.94,38814.32,23871.25,8645.19,7710.88,62141.48,38788.91,23635.54,8626.34,7715.31,62422.55,38992.65,25390.25,8703.50,7710.16,61938.51,38511.86,17963.13,8467.41,7710.16,61930.64,38506.61,17826.83,8469.40
2024-07-21,7710.40,61965.99,38415.38,21110.59,8382.15,7710.40,61925.52,38391.31,21339.18,8381.86,7710.40,61925.03,38390.07,21178.12,8381.33,7710.50,62048.95,38520.58,24025.51,8448.01,7711.08,62034.17,38524.42,24156.65,8455.97,7711.28,62017.19,38509.76,23943.69,8446.68,7711.91,62274.19,38740.79,25665.00,8574.80,7710.00,61814.36,38275.43,18145.86,8336.37,7710.00,61814.08,38279.52,17999.58,8339.70
2024-07-22,7708.61,61773.53,38128.75,21135.31,8244.22,7708.61,61759.49,38119.43,21345.87,8239.87,7708.61,61751.73,38113.50,21191.43,8241.05,7710.00,61882.38,38229.79,24027.08,8288.84,7710.00,61866.01,38227.29,24131.59,8288.09,7710.21,61849.65,38214.36,23889.48,8280.92,7710.60,62097.03,38357.10,25665.67,8341.48,7707.01,61588.02,37955.07,18149.57,8206.83,7707.01,61587.74,37957.25,18012.62,8208.54
2024-07-23,7702.53,61286.29,37186.05,21355.91,7736.18,7702.65,61247.95,37163.23,21521.56,7740.26,7702.65,61254.11,37165.60,21397.02,7738.75,7704.06,61388.49,37313.22,24047.07,7816.29,7704.06,61367.14,37309.77,24105.90,7818.86,7703.83,61336.28,37284.44,23884.49,7810.99,7704.17,61652.35,37520.23,25527.01,7886.58,7702.06,61060.45,36956.90,18471.71,7679.09,7702.06,61065.35,36955.94,18346.70,7673.87
2024-07-24,7678.22,60252.19,35108.04,21763.39,6539.83,7678.22,60236.87,35089.62,21884.99,6531.63,7678.22,60237.94,35084.16,21798.39,6528.62,7680.50,60383.40,35275.64,24154.28,6682.67,7680.50,60351.13,35268.68,24168.04,6682.78,7680.50,60325.04,35240.68,23972.72,6661.30,7684.75,60607.19,35525.64,25476.61,6811.92,7674.54,60039.25,34854.01,19082.31,6440.02,7674.54,60044.89,34860.33,18984.73,6443.52
2024-07-25,7691.23,60729.98,36163.21,21279.74,7071.93,7691.11,60709.07,36144.82,21337.92,7076.76,7691.11,60717.22,36147.79,21296.26,7077.08,7692.35,60931.20,36279.03,23631.14,7143.97,7692.30,60892.94,36255.22,23614.79,7138.22,7692.30,60846.80,36224.23,23405.34,7129.60,7693.31,61245.74,36520.70,25071.08,7223.65,7687.06,60485.79,35895.17,18705.88,7000.91,7687.06,60497.40,35904.19,18621.31,7000.98
2024-07-26,7692.48,60754.98,36257.01,21372.29,7168.95,7692.35,60745.96,36235.76,21425.50,7168.45,7692.35,60765.38,36256.10,21394.78,7177.69,7692.39,60977.96,36385.38,23682.75,7231.55,7692.48,60905.59,36322.04,23611.95,7214.68,7692.35,60854.92,36286.47,23393.72,7208.92,7693.81,61262.35,36580.18,25098.85,7300.31,7687.89,60572.36,36054.39,18797.15,7103.89,7687.89,60573.46,36055.55,18757.99,7101.61
2024-07-27,7692.58,61022.56,36580.90,21592.57,7321.36,7692.53,60962.52,36536.18,21593.40,7321.90,7692.53,60988.84,36551.86,21596.33,7322.13,7693.81,61167.41,36717.77,23847.72,7405.09,7693.76,61082.31,36655.60,23710.59,7383.33,7693.84,61027.13,36607.02,23505.03,7367.47,7696.80,61452.73,36964.67,25179.79,7514.26,7690.22,60739.60,36277.52,19018.86,7241.90,7690.26,60749.22,36288.14,19011.74,7248.45
