day_of_year,Yolo Bypass,Sacramento River,East Delta,Lower Sacramento River,South Delta,Suisun Marsh,Confluence,Lower San Joaquin River,SW Suisun,SE Suisun,NE Suisun,NW Suisun
121,16.43153268154342,14.141740143301057,14.79912822514763,14.952930832905079,15.661978617304678,16.060350799128454,15.3726024683583,16.155969731121527,15.017290487375224,15.462783304226457,15.498015964691074,15.49795002985734
122,16.460866500444034,14.181407727728635,14.839718300940097,14.99507440874052,15.726670954008103,16.155723267865007,15.440412647135073,16.24206580862582,15.086990980622486,15.507228431715001,15.568533417402072,15.525072404685034
123,16.51528913359859,14.25553096803283,14.897643980285835,15.070658287917686,15.780998869334018,16.247362145197766,15.492271486856358,16.317646661925433,15.109011914268976,15.557057614390297,15.593295010508262,15.580591175930339
124,16.569143923695034,14.345382080368447,15.041035647726273,15.170881370180043,15.8580156496931,16.352802206893056,15.576610059298565,16.365671747568204,15.137810416911337,15.573326790080056,15.621439503993223,15.613987434543116
125,16.59403577725623,14.427153632127524,15.119296340556089,15.285711904884078,15.942554088023629,16.443259333733874,15.678583157802958,16.469897687929965,15.23781053435113,15.670484366049719,15.707529003782987,15.70690288011009
126,16.611839826183832,14.487262575408941,15.254782938714655,15.3945799665811,16.001829081833044,16.533754853554065,15.772483170193112,16.56292797160445,15.309091139166146,15.758872773314145,15.793197498948897,15.788470153881635
127,16.630077170084018,14.562128616093267,15.388311795777822,15.435793709511854,16.031847787258716,16.587598470711107,15.831999572527124,16.63324556734717,15.402697445684094,15.827518756548704,15.871766645649792,15.850911341295337
128,16.621926748108795,14.60214728379558,15.404201679065677,15.467334776349889,16.029469272577632,16.650427155225874,15.885646066905995,16.73094548369593,15.409091256606011,15.85887279077933,15.892115346784975,15.88596770326135
129,16.57632425318198,14.609897735243772,15.469554435505836,15.505454498714885,16.028110157659416,16.66883380195259,15.941779170720654,16.803028694303734,15.432657844979433,15.885162067761831,15.897688713745872,15.90182680983004
130,16.53283546039483,14.59608514430259,15.476402195200901,15.537326354755802,16.013883045684715,16.663923094270643,15.984760461101594,16.859901865931963,15.468775255431568,15.9177431156137,15.95144796553213,15.907216582452902
131,16.552717188880738,14.585736779737198,15.481760952756916,15.509099498714724,15.983526825676517,16.69504591676326,15.989797832550837,16.860450426507615,15.513995936582518,15.941324184422395,15.980816090794715,15.932768020211263
132,16.517001157980005,14.639233496842932,15.584052633219406,15.509265349614575,15.977272887413864,16.728639251633428,15.995773476413362,16.908569369772128,15.568773734586053,15.966113230877056,15.994590100882805,15.990705254937915
