scenario,10800-3-m,10800-3-m,10800-3-m,10800-3-m,10800-3-m,10800-60d,10800-60d,10800-60d,10800-60d,10800-60d,10800-b,10800-b,10800-b,10800-b,10800-b,15000-3-m,15000-3-m,15000-3-m,15000-3-m,15000-3-m,15000-60d,15000-60d,15000-60d,15000-60d,15000-60d,15000-b,15000-b,15000-b,15000-b,15000-b,21000,21000,21000,21000,21000,Noaction,Noaction,Noaction,Noaction,Noaction,fallx2,fallx2,fallx2,fallx2,fallx2
region,Cache Montezuma Link,Delta,North Delta Arc,Suisun Bay,Suisun Marsh,Cache Montezuma Link,Delta,North Delta Arc,Suisun Bay,Suisun Marsh,Cache Montezuma Link,Delta,North Delta Arc,Suisun Bay,Suisun Marsh,Cache Montezuma Link,Delta,North Delta Arc,Suisun Bay,Suisun Marsh,Cache Montezuma Link,Delta,North Delta Arc,Suisun Bay,Suisun Marsh,Cache Montezuma Link,Delta,North Delta Arc,Suisun Bay,Suisun Marsh,Cache Montezuma Link,Delta,North Delta Arc,Suisun Bay,Suisun Marsh,Cache Montezuma Link,Delta,North Delta Arc,Suisun Bay,Suisun Marsh,Cache Montezuma Link,Delta,North Delta Arc,Suisun Bay,Suisun Marsh
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-04,7688.78,60152.96,35463.57,18245.60,6999.79,7689.55,60154.41,35465.20,18258.37,6999.89,7689.55,60152.38,35463.92,18252.76,7000.54,7687.40,60146.51,35458.73,18232.08,6998.26,7688.74,60148.70,35459.57,18233.42,6997.89,7688.74,60148.75,35461.00,18233.42,6999.00,7687.40,60139.59,35451.26,18188.59,6994.95,7689.96,60168.68,35480.65,18275.20,7003.10,7688.78,60168.71,35476.48,18268.31,6998.65
2016-05-05,7695.54,59989.63,35635.94,19023.06,7343.50,7695.54,59987.35,35637.28,19024.23,7346.86,7695.54,59987.74,35641.78,19022.09,7350.97,7695.54,59974.90,35626.53,18936.64,7345.63,7695.54,59975.07,35623.74,18942.36,7342.96,7695.54,59974.76,35630.18,18940.23,7349.65,7695.54,59964.72,35616.04,18845.54,7342.51,7695.54,59991.93,35644.51,19044.08,7351.96,7695.54,59996.33,35649.39,19044.08,7352.53
2016-05-06,7701.99,60264.69,36087.41,19083.80,7551.25,7701.99,60262.82,36084.35,19081.01,7550.64,7701.99,60262.84,36086.36,19083.80,7552.37,7701.99,60254.03,36079.18,18987.56,7551.22,7701.99,60254.91,36077.59,18999.45,7547.96,7701.99,60254.11,36079.04,18992.18,7549.99,7700.92,60227.12,36049.95,18846.79,7544.62,7701.99,60276.16,36097.35,19160.05,7552.31,7702.04,60363.70,36183.93,19156.63,7553.20
2016-05-07,7701.05,60281.16,36104.61,19233.86,7563.31,7701.05,60280.93,36102.86,19235.84,7562.64,7701.05,60277.14,36101.54,19235.84,7565.10,7701.05,60264.18,36082.41,19102.27,7555.07,7701.05,60320.20,36143.66,19104.11,7560.20,7701.05,60261.41,36081.55,19107.17,7557.00,7701.05,60233.40,36058.60,18905.10,7557.75,7701.09,60285.63,36110.36,19306.88,7567.22,7701.09,60372.15,36195.21,19304.81,7567.22
2016-05-08,7699.51,60371.85,36037.33,19312.88,7414.04,7699.51,60310.35,35983.08,19312.88,7419.59,7699.51,60307.01,35976.13,19312.88,7415.99,7699.00,60310.03,35966.57,19156.73,7401.64,7699.00,60330.04,35997.08,19160.24,7410.50,7699.00,60304.77,35967.88,19152.83,7406.51,7699.00,60269.29,35936.68,18888.75,7401.95,7699.51,60313.34,35981.10,19406.10,7418.96,7699.51,60411.87,36074.18,19403.95,7414.17
2016-05-09,7686.97,59945.99,35243.54,19724.60,7002.67,7686.97,59909.67,35218.88,19727.39,7013.18,7686.97,59906.65,35211.65,19717.98,7008.81,7686.97,59898.96,35200.67,19524.96,7004.25,7686.97,59935.54,35242.95,19529.26,7009.99,7686.97,59896.04,35200.43,19523.34,7006.63,7686.73,59868.70,35176.59,19229.96,7005.01,7687.43,59912.04,35220.39,19854.83,7014.60,7687.30,60009.77,35313.46,19860.67,7010.54
2016-05-10,7676.28,59796.86,34411.33,19843.93,6283.08,7676.28,59773.30,34386.96,19844.86,6289.05,7676.12,59772.40,34387.46,19835.56,6284.73,7675.91,59751.70,34365.36,19592.61,6281.83,7675.91,59772.25,34387.65,19597.88,6278.97,7675.75,59741.81,34356.22,19586.31,6281.26,7675.75,59721.57,34327.78,19269.22,6263.60,7676.12,59789.20,34396.50,19978.16,6283.45,7676.12,59874.69,34482.51,19982.15,6287.30
2016-05-11,7577.15,59335.62,33472.37,20173.95,5774.47,7577.15,59306.22,33447.14,20178.39,5777.68,7577.23,59302.69,33443.04,20178.39,5778.76,7577.26,59293.06,33429.56,19922.77,5770.63,7577.63,59321.52,33461.21,19932.82,5772.96,7577.73,59286.54,33423.76,19922.77,5771.36,7575.22,59264.12,33409.68,19554.64,5773.20,7577.63,59317.29,33461.37,20335.65,5782.92,7577.63,59416.55,33554.29,20335.65,5774.96
